GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000758945.1	1305058	GCF_000758945.1	1436758	
GCA_001406575.1	2505608	GCF_001406575.1	2515988	
GCA_001405375.1	2504368	GCF_001405375.1	2515648	
GCA_900066465.1	3386788	N/A	N/A	
GCA_001404695.1	2503688	GCF_001404695.1	2513688	
GCA_003133285.1	6504188	N/A	N/A	
GCA_900461335.1	7044358	GCF_900461335.1	7051168	
GCA_900450505.1	6999728	GCF_900450505.1	7024298	
GCA_900637575.1	8123318	GCF_900637575.1	8157018	
GCA_900445305.1	7041818	GCF_900445305.1	7050948	
GCA_001049775.1	1860448	GCF_001049775.1	1861438	
GCA_001189515.2	2314328	GCF_001189515.2	3139918	
GCA_001437015.1	2584448	GCF_001437015.1	2590668	
GCA_001437585.1	2585028	GCF_001437585.1	2590328	
GCA_000143845.1	166418	GCF_000143845.1	274478	
GCA_001438885.1	2586358	GCF_001438885.1	2671588	
GCA_001494635.1	2764368	GCF_001494635.1	2777988	
GCA_001552785.1	2867368	GCF_001552785.1	3391778	
GCA_001552935.1	2867498	GCF_001552935.1	3395298	
GCA_001553055.1	2867648	GCF_001553055.1	3142438	
GCA_000156175.1	183258	GCF_000156175.1	183278	
GCA_000156215.1	183338	GCF_000156215.1	183358	
GCA_001562845.1	2881398	GCF_001562845.1	2883008	
GCA_000159235.2	299368	GCF_000159235.2	299988	
GCA_000162875.1	196478	GCF_000162875.1	196498	
GCA_001643775.1	3241948	GCF_001643775.1	3394338	
GCA_000169035.1	206518	GCF_000169035.1	206538	
GCA_000174015.1	216158	GCF_000174015.1	216178	
GCA_000178335.1	224618	GCF_000178335.1	224638	
GCA_000179715.1	226978	GCF_000179715.1	226998	
GCA_001811895.1	3568378	GCF_001811895.1	3617928	
GCA_001813205.1	3569748	GCF_001813205.1	3619988	
GCA_000185625.1	245218	GCF_000185625.1	241878	
GCA_001915225.1	3915438	N/A	N/A	
GCA_001915265.1	3915458	N/A	N/A	
GCA_000191845.2	252898	GCF_000191845.1	252918	
GCA_001950395.1	3972758	N/A	N/A	
GCA_000195315.1	255708	GCF_000195315.1	266888	
GCA_000210055.1	272618	GCF_000210055.1	589308	
GCA_002148255.1	4485278	GCF_002148255.1	4521148	
GCA_002159295.1	4534968	GCF_002159295.1	4542108	
GCA_002159335.1	4535008	GCF_002159335.1	4543668	
GCA_002159495.1	4535178	GCF_002159495.1	4543288	
GCA_002159535.1	4535208	GCF_002159535.1	4543348	
GCA_002159625.1	4535308	GCF_002159625.1	4542428	
GCA_002159695.1	4535388	GCF_002159695.1	4542228	
GCA_002159735.1	4535408	GCF_002159735.1	4542488	
GCA_002159765.1	4535438	GCF_002159765.1	4542268	
GCA_002159895.1	4535568	GCF_002159895.1	4542148	
GCA_002159915.1	4535588	GCF_002159915.1	4542168	
GCA_002159935.1	4535618	GCF_002159935.1	4542188	
GCA_002160065.1	4535748	GCF_002160065.1	4544348	
GCA_002160255.1	4535928	GCF_002160255.1	4543608	
GCA_002161605.1	4537288	GCF_002161605.1	4924368	
GCA_002161805.1	4537488	GCF_002161805.1	4544548	
GCA_002232035.1	4841018	GCF_002232035.1	4850658	
GCA_002293265.1	5000268	N/A	N/A	
GCA_002305035.1	5016398	N/A	N/A	
GCA_002305585.1	5016948	N/A	N/A	
