genome_name	taxonomy
UBA1164	Syntrophaceae bacterium UBA1164 [family]
UBA1305	Ruminiclostridium sp. UBA1305 [genus]
UBA1306	Spirochaetaceae bacterium UBA1306 [family]
UBA1318	Spirochaetaceae bacterium UBA1318 [family]
UBA1320	Ruminococcaceae bacterium UBA1320 [family]
UBA1335	Desulfovibrio sp. UBA1335 [genus]
UBA1386	Deltaproteobacteria bacterium UBA1386 [class]
UBA1411	Syntrophaceae bacterium UBA1411 [family]
UBA1422	Firmicutes bacterium UBA1422 [phylum]
UBA143	Methanoregula sp. UBA143 [genus]
UBA1434	Lachnoclostridium sp. UBA1434 [genus]
UBA145	Methanolinea sp. UBA145 [genus]
UBA154	Methanoregula sp. UBA154 [genus]
UBA155	Methanolinea sp. UBA155 [genus]
UBA1565	Elusimicrobia bacterium UBA1565 [phylum]
UBA1603	Geobacter sp. UBA1603 [genus]
UBA1800	Bacteroidales bacterium UBA1800 [order]
UBA2130	Desulfobacteraceae bacterium UBA2130 [family]
UBA2156	Desulfobacteraceae bacterium UBA2156 [family]
UBA2180	Smithella sp. UBA2180 [genus]
UBA2188	Syntrophaceae bacterium UBA2188 [family]
UBA2200	Anaerolineales bacterium UBA2200 [order]
UBA2213	Desulfobulbaceae bacterium UBA2213 [family]
UBA2221	Deltaproteobacteria bacterium UBA2221 [class]
UBA2232	Anaerolineales bacterium UBA2232 [order]
UBA2248	Desulfobulbaceae bacterium UBA2248 [family]
UBA2251	Syntrophaceae bacterium UBA2251 [family]
UBA2262	Desulfobulbaceae bacterium UBA2262 [family]
UBA2265	Geobacter sp. UBA2265 [genus]
UBA2269	Firmicutes bacterium UBA2269 [phylum]
UBA2270	Desulfobulbaceae bacterium UBA2270 [family]
UBA2279	Actinobacteria bacterium UBA2279 [phylum]
UBA2280	Syntrophaceae bacterium UBA2280 [family]
UBA2286	Actinobacteria bacterium UBA2286 [phylum]
UBA2294	Desulfuromonadaceae bacterium UBA2294 [family]
UBA238	Methanomassiliicoccus sp. UBA238 [genus]
UBA244	Methanoregula sp. UBA244 [genus]
UBA245	Methanolinea sp. UBA245 [genus]
UBA247	Methanoregula sp. UBA247 [genus]
UBA2530	Firmicutes bacterium UBA2530 [phylum]
UBA274	Methanoregula sp. UBA274 [genus]
UBA275	Methanolinea sp. UBA275 [genus]
UBA276	Methanoregula sp. UBA276 [genus]
UBA277	Methanolinea sp. UBA277 [genus]
UBA2775	Desulfobulbaceae bacterium UBA2775 [family]
UBA292	Methanomassiliicoccus sp. UBA292 [genus]
UBA3047	Clostridium tunisiense [species]
UBA3086	Actinobacteria bacterium UBA3086 [phylum]
UBA315	Methanomassiliicoccus sp. UBA315 [genus]
UBA321	Methanomassiliicoccus sp. UBA321 [genus]
UBA335	Methanomassiliicoccus sp. UBA335 [genus]
UBA345	Methanomassiliicoccus sp. UBA345 [genus]
UBA3548	Ruminiclostridium sp. UBA3548 [genus]
UBA3553	Firmicutes bacterium UBA3553 [phylum]
UBA3578	Clostridiales bacterium UBA3578 [order]
UBA3582	Clostridiales bacterium UBA3582 [order]
UBA360	Methanomassiliicoccus sp. UBA360 [genus]
UBA362	Methanocorpusculum sp. UBA362 [genus]
UBA364	Methanomassiliicoccus sp. UBA364 [genus]
UBA382	Methanomassiliicoccus sp. UBA382 [genus]
UBA386	Methanomassiliicoccus sp. UBA386 [genus]
UBA393	Methanomassiliicoccus sp. UBA393 [genus]
UBA4047	Smithella sp. UBA4047 [genus]
UBA4048	Desulfosporosinus sp. UBA4048 [genus]
UBA4049	Firmicutes bacterium UBA4049 [phylum]
UBA4056	Desulfobulbaceae bacterium UBA4056 [family]
UBA4057	Geobacter sp. UBA4057 [genus]
UBA4059	Syntrophaceae bacterium UBA4059 [family]
UBA4065	Syntrophaceae bacterium UBA4065 [family]
UBA4078	Geobacter sp. UBA4078 [genus]
UBA4085	Candidatus Aminicenantes bacterium UBA4085 [phylum]
UBA4133	Bacteroidales bacterium UBA4133 [order]
UBA4142	Anaerolineales bacterium UBA4142 [order]
UBA424	Methanocorpusculum sp. UBA424 [genus]
UBA425	Methanocorpusculaceae archaeon UBA425 [family]
UBA429	Methanomassiliicoccus sp. UBA429 [genus]
UBA434	Methanoregula sp. UBA434 [genus]
UBA437	Methanolinea sp. UBA437 [genus]
UBA450	Methanoregula sp. UBA450 [genus]
UBA451	Methanolinea sp. UBA451 [genus]
UBA452	Methanoregula sp. UBA452 [genus]
UBA4548	Clostridium sp. UBA4548 [genus]
UBA4599	Firmicutes bacterium UBA4599 [phylum]
UBA467	Methanoregulaceae archaeon UBA467 [family]
UBA470	Methanosarcinaceae archaeon UBA470 [family]
UBA471	Methanoregula sp. UBA471 [genus]
UBA4726	Desulfosporosinus sp. UBA4726 [genus]
UBA473	Methanolinea sp. UBA473 [genus]
UBA4745	Desulfosporosinus sp. UBA4745 [genus]
UBA4778	Syntrophaceae bacterium UBA4778 [family]
UBA4789	Pelotomaculum sp. UBA4789 [genus]
UBA4810	Syntrophaceae bacterium UBA4810 [family]
UBA4816	Syntrophaceae bacterium UBA4816 [family]
UBA4826	Anaerolineales bacterium UBA4826 [order]
UBA4844	Syntrophomonas sp. UBA4844 [genus]
UBA4878	Syntrophomonas sp. UBA4878 [genus]
UBA4889	Syntrophomonas sp. UBA4889 [genus]
UBA4894	Syntrophomonas sp. UBA4894 [genus]
UBA4911	Syntrophomonas sp. UBA4911 [genus]
UBA4921	Synergistaceae bacterium UBA4921 [family]
UBA4968	Syntrophomonas sp. UBA4968 [genus]
UBA4990	Syntrophomonas sp. UBA4990 [genus]
UBA5072	Bacteroidales bacterium UBA5072 [order]
UBA5121	Desulfobulbaceae bacterium UBA5121 [family]
UBA5123	Desulfobulbaceae bacterium UBA5123 [family]
UBA5179	Desulfosporosinus sp. UBA5179 [genus]
UBA5188	Desulfosporosinus sp. UBA5188 [genus]
UBA5193	Desulfomicrobium sp. UBA5193 [genus]
UBA5200	Spirochaetaceae bacterium UBA5200 [family]
UBA5205	Deltaproteobacteria bacterium UBA5205 [class]
UBA5215	Anaerolineales bacterium UBA5215 [order]
UBA5221	Syntrophomonas sp. UBA5221 [genus]
UBA5240	Synergistaceae bacterium UBA5240 [family]
UBA5246	Syntrophomonas sp. UBA5246 [genus]
UBA5247	Lentisphaeria bacterium UBA5247 [class]
UBA5258	Synergistaceae bacterium UBA5258 [family]
UBA5288	Syntrophomonas sp. UBA5288 [genus]
UBA5298	Syntrophomonas sp. UBA5298 [genus]
