LABELS
SEPARATOR TAB
DATA
archaea00001	Methanococcus voltae A3 
archaea00002	Halobacterium salinarum NRC-1 
archaea00003	Sulfolobus solfataricus P2 
archaea00004	Methanosarcina mazei Go1 
archaea00005	Methanopyrus kandleri AV19 
archaea00006	Pyrobaculum aerophilum str. IM2 
archaea00007	Pyrococcus furiosus DSM 3638 
archaea00008	Methanosarcina acetivorans C2A 
archaea00009	Nanoarchaeum equitans Kin4-M 
archaea00010	Picrophilus torridus DSM 9790 
archaea00011	Methanothermobacter thermautotrophicus str. Delta H 
archaea00012	Archaeoglobus fulgidus DSM 4304 
archaea00013	Haloquadratum walsbyi DSM 16790 
archaea00014	Thermococcus kodakarensis KOD1 
archaea00015	Methanocella paludicola SANAE 
archaea00016	Haloarcula marismortui ATCC 43049 
archaea00017	Pyrococcus horikoshii OT3 
archaea00018	Aeropyrum pernix K1 
archaea00019	Thermoplasma volcanium GSS1 
archaea00020	Sulfolobus tokodaii str. 7 
archaea00021	Methanococcus maripaludis S2 
archaea00022	Sulfolobus acidocaldarius DSM 639 
archaea00023	Methanosphaera stadtmanae DSM 3091 
archaea00024	Methanospirillum hungatei JF-1 
archaea00025	Methanococcoides burtonii DSM 6242 
archaea00026	Methanosaeta thermophila PT 
archaea00027	Hyperthermus butylicus DSM 5456 
archaea00028	Pyrobaculum islandicum DSM 4184 
archaea00029	Thermofilum pendens Hrk 5 
archaea00030	Methanocorpusculum labreanum Z 
archaea00031	Pyrobaculum calidifontis JCM 11548 
archaea00032	Methanoculleus marisnigri JR1 
archaea00033	Staphylothermus marinus F1 
archaea00034	Methanococcus maripaludis C5 
archaea00035	Pyrobaculum arsenaticum DSM 13514 
archaea00036	Methanobrevibacter smithii ATCC 35061 
archaea00037	Metallosphaera sedula DSM 5348 
archaea00038	Methanococcus vannielii SB 
archaea00039	Methanococcus aeolicus Nankai-3 
archaea00040	Methanococcus maripaludis C7 
archaea00041	Methanoregula boonei 6A8 
archaea00042	Ignicoccus hospitalis KIN4/I 
archaea00043	Caldivirga maquilingensis IC-167 
archaea00044	Thermococcus onnurineus NA1 
archaea00045	Nitrosopumilus maritimus SCM1 
archaea00046	Methanococcus maripaludis C6 
archaea00047	Candidatus Korarchaeum cryptofilum OPF8 
archaea00048	Pyrobaculum neutrophilum V24Sta 
archaea00049	Desulfurococcus amylolyticus 1221n 
archaea00050	Methanosphaerula palustris E1-9c 
archaea00051	Halorubrum lacusprofundi ATCC 49239 
archaea00052	Thermococcus gammatolerans EJ3 
archaea00053	Sulfolobus islandicus L.S.2.15 
archaea00054	Sulfolobus islandicus M.14.25 
archaea00055	Sulfolobus islandicus M.16.27 
archaea00056	Sulfolobus islandicus M.16.4 
archaea00057	Sulfolobus islandicus Y.G.57.14 
archaea00058	Sulfolobus islandicus Y.N.15.51 
archaea00059	Thermococcus sibiricus MM 739 
archaea00060	Halorhabdus utahensis DSM 12940 
archaea00061	Halomicrobium mukohataei DSM 12286 
archaea00062	Methanocaldococcus fervens AG86 
archaea00063	Methanobrevibacter ruminantium M1 
archaea00064	Methanocaldococcus vulcanius M7 
archaea00065	Sulfolobus solfataricus 98/2 
archaea00066	Archaeoglobus profundus DSM 5631 
archaea00067	Haloterrigena turkmenica DSM 5511 
archaea00068	Ferroglobus placidus DSM 10642 
archaea00069	Methanocaldococcus sp. FS406-22 
archaea00070	Natrialba magadii ATCC 43099 
archaea00071	Aciduliprofundum boonei T469 
archaea00072	Haloferax volcanii DS2 
archaea00073	Methanohalophilus mahii DSM 5219 
archaea00074	Natronomonas pharaonis DSM 2160 
archaea00075	Methanocella arvoryzae MRE50 
archaea00076	Halobacterium salinarum R1 
archaea00077	Methanocaldococcus jannaschii DSM 2661 
archaea00078	Thermosphaera aggregans DSM 11486 
archaea00079	Methanocaldococcus infernus ME 
archaea00080	Staphylothermus hellenicus DSM 12710 
archaea00081	Acidilobus saccharovorans 345-15 
archaea00082	Methanothermobacter marburgensis str. Marburg 
archaea00083	Ignisphaera aggregans DSM 17230 
archaea00084	Methanolacinia petrolearia DSM 11571 
archaea00085	Vulcanisaeta distributa DSM 14429 
archaea00086	Thermococcus barophilus MP 
archaea00087	Thermococcus sp. AM4 
archaea00088	Ferroplasma acidarmanus fer1 
archaea00089	Methanothermus fervidus DSM 2088 
archaea00090	Halogeometricum borinquense DSM 11551 
archaea00091	Methanothermococcus okinawensis IH1 
archaea00092	Desulfurococcus mucosus DSM 2162 
archaea00093	Sulfolobus islandicus REY15A 
archaea00094	Sulfolobus islandicus HVE10/4 
archaea00095	Vulcanisaeta moutnovskia 768-28 
archaea00096	Methanobacterium lacus 
archaea00097	Thermoproteus uzoniensis 768-20 
archaea00098	Archaeoglobus veneficus SNP6 
archaea00099	Methanosarcina barkeri str. Fusaro 
archaea00100	Thermoplasma acidophilum DSM 1728 
archaea00101	Pyrococcus abyssi GE5 
archaea00102	Methanohalobium evestigatum Z-7303 
archaea00103	Halalkalicoccus jeotgali B3 
archaea00104	Methanosaeta concilii GP6 
archaea00105	Metallosphaera cuprina Ar-4 
archaea00106	Pyrococcus sp. NA2 
archaea00107	Acidianus hospitalis W1 
archaea00108	Methanotorris igneus Kol 5 
archaea00109	Methanobacterium paludis 
archaea00110	Pyrococcus yayanosii CH1 
archaea00111	Halopiger xanaduensis SH-6 
archaea00112	Methanosalsum zhilinae DSM 4017 
archaea00113	Methanococcus maripaludis X1 
archaea00114	Thermococcus sp. 4557 
archaea00115	Pyrolobus fumarii 1A 
archaea00116	Haloarcula hispanica ATCC 33960 
archaea00117	halophilic archaeon DL31 
archaea00118	Halobiforma lacisalsi AJ5 
archaea00119	Natronobacterium gregoryi SP2 
archaea00120	Natrinema pellirubrum DSM 15624 
archaea00121	Halobacterium sp. DL1 
archaea00122	Desulfurococcus amylolyticus DSM 16532 
archaea00123	Pyrobaculum ferrireducens 
archaea00124	Methanosaeta harundinacea 6Ac 
archaea00125	Haloquadratum walsbyi C23 
archaea00126	Thermococcus litoralis DSM 5473 
archaea00127	Pyrobaculum oguniense TE7 
archaea00128	Methanocella conradii HZ254 
archaea00129	Thermoproteus tenax Kra 1 
archaea00130	Fervidicoccus fontis Kam940 
archaea00131	Pyrococcus sp. ST04 
archaea00132	Thermogladius calderae 1633 
archaea00133	Thermococcus cleftensis 
archaea00134	Candidatus Caldiarchaeum subterraneum 
archaea00135	Pyrococcus furiosus COM1 
archaea00136	Natrinema sp. J7-2 
archaea00137	Candidatus Nitrosopumilus koreensis AR1 
archaea00138	Candidatus Nitrosopumilus sediminis 
archaea00139	Candidatus Methanomethylophilus alvus Mx1201 
archaea00140	Candidatus Nitrososphaera gargensis Ga9.2 
archaea00141	Methanoculleus bourgensis MS2 
archaea00142	Methanolobus psychrophilus R15 
