genome_name taxonomy
KMBP001A.bins.104.contigs   Lentisphaerae
KMBP001A.bins.119.contigs   Lentisphaerae
KMBP001A.bins.152_sub.contigs   Lentisphaerae
KMBP001A.bins.171.contigs   Bacteroidetes
KMBP001A.bins.32_sub.contigs    Deltaproteobacteria
KMBP001A.bins.55.contigs    Margulisbacteria
KMBP001A.bins.57_sub.contigs    Actinobacteria
KMBP001A.conconct.178.contigs   Clostridiales
KMBP001A.conconct.206.contigs   Euryarchaeota
KMBP001A.conconct.74.contigs    Bacteroidetes
KMBP001A.conconct.76.contigs    Deltaproteobacteria
KMBP001A.maxbin_bins.037_sub.contigs    Lentisphaerae
KMBP001A.maxbin_bins.055_sub.contigs    Lentisphaerae
KMBP001A.maxbin_bins.087_sub.contigs    Lentisphaerae
KMBP001B.bins.117_sub.contigs   Lentisphaerae
KMBP001B.bins.173_sub.contigs   Lentisphaerae
KMBP001B.conconct.1.contigs Clostridiales
KMBP001B.conconct.21.contigs    Clostridiales
KMBP001B.conconct.70.contigs    Deltaproteobacteria
KMBP001C.conconct.164.contigs   Clostridiales
KMBP001C.maxbin_bins.042.contigs    Lentisphaerae
KMBP001C.maxbin_bins.066.contigs    Betaproteobacteria
KMBP001D.bins.10_sub.contigs    Lentisphaerae
KMBP001D.bins.11_sub.contigs    Taylorbacteria
KMBP001D.bins.43.contigs    Firestonebacteria
KMBP001D.conconct.16.contigs    Clostridiales
KMBP001D.conconct.185.contigs   Margulisbacteria
KMBP001D.conconct.188_sub.contigs   Lentisphaerae
KMBP001D.maxbin_bins.164_sub.contigs    Deltaproteobacteria
KMBP001E.bins.147.contigs   Lentisphaerae
KMBP001E.bins.170_sub.contigs   Lentisphaerae
KMBP001E.bins.221.contigs   Lentisphaerae
KMBP001E.bins.33.contigs    Deltaproteobacteria
KMBP001E.bins.84.contigs    Deltaproteobacteria
KMBP001E.conconct.133_sub.contigs   Lentisphaerae
KMBP001E.conconct.310_sub.contigs   Euryarchaeota
KMBP001E.conconct.65_sub.contigs    Lentisphaerae
KMBP001E.maxbin_bins.227_sub.contigs    Bacteroidetes
