GCA_001766905.1	Acidobacteria bacterium RBG_13_68_16
GCA_001766895.1	Acidobacteria bacterium RBG_16_64_8
GCA_001766875.1	Acidobacteria bacterium RBG_16_68_9
GCA_001766955.1	Acidobacteria bacterium RBG_16_70_10
GCA_001766965.1	Acidobacteria bacterium RIFCSPHIGHO2_01_FULL_67_28
GCA_001766975.1	Acidobacteria bacterium RIFCSPHIGHO2_02_FULL_67_57
GCA_001766985.1	Acidobacteria bacterium RIFCSPHIGHO2_12_FULL_67_30
GCA_001768595.1	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_59_13
GCA_001767145.1	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_60_20
GCA_001767035.1	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28
GCA_001767165.1	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15
GCA_001767435.1	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_65_29
GCA_001767195.1	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21
GCA_001767055.1	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36
GCA_001767065.1	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18
GCA_001767075.1	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_54_10
GCA_001767115.1	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11
GCA_001767445.1	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_60_22
GCA_001767495.1	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11
GCA_001767135.1	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_10
GCA_001767455.1	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21
GCA_001767515.1	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14
GCA_001768615.1	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14b
GCA_001767525.1	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19
GCA_001767535.1	Acinetobacter sp. GWC1_38_13
GCA_001768625.1	Acinetobacter sp. RIFCSPHIGHO2_12_41_5
GCA_001767575.1	Actinobacteria bacterium GWC2_53_9
GCA_001767595.1	Actinobacteria bacterium RBG_13_35_12
GCA_001768645.1	Actinobacteria bacterium RBG_13_55_18
GCA_001767615.1	Actinobacteria bacterium RBG_13_63_9
GCA_001767605.1	Actinobacteria bacterium RBG_16_55_12
GCA_001768675.1	Actinobacteria bacterium RBG_16_64_13
GCA_001767655.1	Actinobacteria bacterium RBG_16_67_10
GCA_001767675.1	Actinobacteria bacterium RBG_16_67_15
GCA_001767685.1	Actinobacteria bacterium RBG_16_68_12
GCA_001767695.1	Actinobacteria bacterium RBG_16_68_21
GCA_001768695.1	Actinobacteria bacterium RBG_16_70_17
GCA_001767735.1	Actinobacteria bacterium RBG_19FT_COMBO_36_27
GCA_001767755.1	Actinobacteria bacterium RBG_19FT_COMBO_54_7
GCA_001768715.1	Actinobacteria bacterium RBG_19FT_COMBO_70_19
GCA_001767765.1	Alicyclobacillus sp. RIFOXYA1_FULL_53_8
GCA_001767775.1	Alphaproteobacteria bacterium GWA1_45_9
GCA_001768725.1	Alphaproteobacteria bacterium GWA2_41_27
GCA_001767795.1	Alphaproteobacteria bacterium GWB1_45_5
GCA_001767835.1	Alphaproteobacteria bacterium GWC2_42_16
GCA_001768735.1	Alphaproteobacteria bacterium GWF2_58_20
GCA_001768775.1	Alphaproteobacteria bacterium RBG_16_42_14
GCA_001768795.1	Alphaproteobacteria bacterium RBG_16_64_48
GCA_001768805.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_40_8
GCA_001767855.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_41_14
GCA_001767865.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_40_34
GCA_001767885.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_30
GCA_001767915.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_46_13
GCA_001768825.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_12_42_13
GCA_001768845.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_42_100
GCA_001768875.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_45_9
GCA_001767925.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_63_12
GCA_001767945.1	Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_66_14
