genome_name	new_name	taxonomy
GCA_000006175.2	archaea00001	Methanococcus voltae A3 
GCA_000006805.1	archaea00002	Halobacterium salinarum NRC-1 
GCA_000007005.1	archaea00003	Sulfolobus solfataricus P2 
GCA_000007065.1	archaea00004	Methanosarcina mazei Go1 
GCA_000007185.1	archaea00005	Methanopyrus kandleri AV19 
GCA_000007225.1	archaea00006	Pyrobaculum aerophilum str. IM2 
GCA_000007305.1	archaea00007	Pyrococcus furiosus DSM 3638 
GCA_000007345.1	archaea00008	Methanosarcina acetivorans C2A 
GCA_000008085.1	archaea00009	Nanoarchaeum equitans Kin4-M 
GCA_000008265.1	archaea00010	Picrophilus torridus DSM 9790 
GCA_000008645.1	archaea00011	Methanothermobacter thermautotrophicus str. Delta H 
GCA_000008665.1	archaea00012	Archaeoglobus fulgidus DSM 4304 
GCA_000009185.1	archaea00013	Haloquadratum walsbyi DSM 16790 
GCA_000009965.1	archaea00014	Thermococcus kodakarensis KOD1 
GCA_000011005.1	archaea00015	Methanocella paludicola SANAE 
GCA_000011085.1	archaea00016	Haloarcula marismortui ATCC 43049 
GCA_000011105.1	archaea00017	Pyrococcus horikoshii OT3 
GCA_000011125.1	archaea00018	Aeropyrum pernix K1 
GCA_000011185.1	archaea00019	Thermoplasma volcanium GSS1 
GCA_000011205.1	archaea00020	Sulfolobus tokodaii str. 7 
GCA_000011585.1	archaea00021	Methanococcus maripaludis S2 
GCA_000012285.1	archaea00022	Sulfolobus acidocaldarius DSM 639 
GCA_000012545.1	archaea00023	Methanosphaera stadtmanae DSM 3091 
GCA_000013445.1	archaea00024	Methanospirillum hungatei JF-1 
GCA_000013725.1	archaea00025	Methanococcoides burtonii DSM 6242 
GCA_000014945.1	archaea00026	Methanosaeta thermophila PT 
GCA_000015145.1	archaea00027	Hyperthermus butylicus DSM 5456 
GCA_000015205.1	archaea00028	Pyrobaculum islandicum DSM 4184 
GCA_000015225.1	archaea00029	Thermofilum pendens Hrk 5 
GCA_000015765.1	archaea00030	Methanocorpusculum labreanum Z 
GCA_000015805.1	archaea00031	Pyrobaculum calidifontis JCM 11548 
GCA_000015825.1	archaea00032	Methanoculleus marisnigri JR1 
GCA_000015945.1	archaea00033	Staphylothermus marinus F1 
GCA_000016125.1	archaea00034	Methanococcus maripaludis C5 
GCA_000016385.1	archaea00035	Pyrobaculum arsenaticum DSM 13514 
GCA_000016525.1	archaea00036	Methanobrevibacter smithii ATCC 35061 
GCA_000016605.1	archaea00037	Metallosphaera sedula DSM 5348 
GCA_000017165.1	archaea00038	Methanococcus vannielii SB 
GCA_000017185.1	archaea00039	Methanococcus aeolicus Nankai-3 
GCA_000017225.1	archaea00040	Methanococcus maripaludis C7 
GCA_000017625.1	archaea00041	Methanoregula boonei 6A8 
GCA_000017945.1	archaea00042	Ignicoccus hospitalis KIN4/I 
GCA_000018305.1	archaea00043	Caldivirga maquilingensis IC-167 
GCA_000018365.1	archaea00044	Thermococcus onnurineus NA1 
GCA_000018465.1	archaea00045	Nitrosopumilus maritimus SCM1 
GCA_000018485.1	archaea00046	Methanococcus maripaludis C6 
GCA_000019605.1	archaea00047	Candidatus Korarchaeum cryptofilum OPF8 
GCA_000019805.1	archaea00048	Pyrobaculum neutrophilum V24Sta 
GCA_000020905.1	archaea00049	Desulfurococcus amylolyticus 1221n 
GCA_000021965.1	archaea00050	Methanosphaerula palustris E1-9c 
GCA_000022205.1	archaea00051	Halorubrum lacusprofundi ATCC 49239 
GCA_000022365.1	archaea00052	Thermococcus gammatolerans EJ3 
GCA_000022385.1	archaea00053	Sulfolobus islandicus L.S.2.15 
GCA_000022405.1	archaea00054	Sulfolobus islandicus M.14.25 
GCA_000022425.1	archaea00055	Sulfolobus islandicus M.16.27 
GCA_000022445.1	archaea00056	Sulfolobus islandicus M.16.4 
GCA_000022465.1	archaea00057	Sulfolobus islandicus Y.G.57.14 
GCA_000022485.1	archaea00058	Sulfolobus islandicus Y.N.15.51 
GCA_000022545.1	archaea00059	Thermococcus sibiricus MM 739 
GCA_000023945.1	archaea00060	Halorhabdus utahensis DSM 12940 
GCA_000023965.1	archaea00061	Halomicrobium mukohataei DSM 12286 
GCA_000023985.1	archaea00062	Methanocaldococcus fervens AG86 
GCA_000024185.1	archaea00063	Methanobrevibacter ruminantium M1 
GCA_000024625.1	archaea00064	Methanocaldococcus vulcanius M7 
GCA_000024745.1	archaea00065	Sulfolobus solfataricus 98/2 
GCA_000025285.1	archaea00066	Archaeoglobus profundus DSM 5631 
GCA_000025325.1	archaea00067	Haloterrigena turkmenica DSM 5511 
GCA_000025505.1	archaea00068	Ferroglobus placidus DSM 10642 
GCA_000025525.1	archaea00069	Methanocaldococcus sp. FS406-22 
GCA_000025625.1	archaea00070	Natrialba magadii ATCC 43099 
GCA_000025665.1	archaea00071	Aciduliprofundum boonei T469 
GCA_000025685.1	archaea00072	Haloferax volcanii DS2 
GCA_000025865.1	archaea00073	Methanohalophilus mahii DSM 5219 
GCA_000026045.1	archaea00074	Natronomonas pharaonis DSM 2160 
GCA_000063445.1	archaea00075	Methanocella arvoryzae MRE50 
GCA_000069025.1	archaea00076	Halobacterium salinarum R1 
GCA_000091665.1	archaea00077	Methanocaldococcus jannaschii DSM 2661 
GCA_000092185.1	archaea00078	Thermosphaera aggregans DSM 11486 
GCA_000092305.1	archaea00079	Methanocaldococcus infernus ME 
GCA_000092465.1	archaea00080	Staphylothermus hellenicus DSM 12710 
GCA_000144915.1	archaea00081	Acidilobus saccharovorans 345-15 
GCA_000145295.1	archaea00082	Methanothermobacter marburgensis str. Marburg 
GCA_000145985.1	archaea00083	Ignisphaera aggregans DSM 17230 
GCA_000147875.1	archaea00084	Methanolacinia petrolearia DSM 11571 
GCA_000148385.1	archaea00085	Vulcanisaeta distributa DSM 14429 
GCA_000151105.2	archaea00086	Thermococcus barophilus MP 
GCA_000151205.2	archaea00087	Thermococcus sp. AM4 
GCA_000152265.2	archaea00088	Ferroplasma acidarmanus fer1 
GCA_000166095.1	archaea00089	Methanothermus fervidus DSM 2088 
GCA_000172995.2	archaea00090	Halogeometricum borinquense DSM 11551 
GCA_000179575.2	archaea00091	Methanothermococcus okinawensis IH1 
GCA_000186365.1	archaea00092	Desulfurococcus mucosus DSM 2162 
GCA_000189555.1	archaea00093	Sulfolobus islandicus REY15A 
GCA_000189575.1	archaea00094	Sulfolobus islandicus HVE10/4 
GCA_000190315.1	archaea00095	Vulcanisaeta moutnovskia 768-28 
GCA_000191585.1	archaea00096	Methanobacterium lacus 
GCA_000193375.1	archaea00097	Thermoproteus uzoniensis 768-20 
GCA_000194625.1	archaea00098	Archaeoglobus veneficus SNP6 
GCA_000195895.1	archaea00099	Methanosarcina barkeri str. Fusaro 
GCA_000195915.1	archaea00100	Thermoplasma acidophilum DSM 1728 
GCA_000195935.2	archaea00101	Pyrococcus abyssi GE5 
GCA_000196655.1	archaea00102	Methanohalobium evestigatum Z-7303 
GCA_000196895.1	archaea00103	Halalkalicoccus jeotgali B3 
GCA_000204415.1	archaea00104	Methanosaeta concilii GP6 
GCA_000204925.1	archaea00105	Metallosphaera cuprina Ar-4 
GCA_000211475.1	archaea00106	Pyrococcus sp. NA2 
