Group.1,variable,value
Acidobacteria,counts.20120800_S1M,258.018584700826
Actinobacteria,counts.20120800_S1M,47.8122004694692
Aminicenantes,counts.20120800_S1M,176.999969580287
Bacteroidetes,counts.20120800_S1M,0
Chlorobi,counts.20120800_S1M,40.9619994594023
Chloroflexi,counts.20120800_S1M,2.04591182594508
Deltaproteobacteria,counts.20120800_S1M,166.930807494841
Elusimicrobia,counts.20120800_S1M,19.3134076369215
Euryarchaeota,counts.20120800_S1M,0
FCPU426,counts.20120800_S1M,36.0860216992306
Fibrobacteres,counts.20120800_S1M,283.252246266603
Nitrospirae,counts.20120800_S1M,0
Acidobacteria,counts.20120800_S1X,100.365640834326
Actinobacteria,counts.20120800_S1X,6.4499657236427
Aminicenantes,counts.20120800_S1X,2.98609524242718
Bacteroidetes,counts.20120800_S1X,0.69348957242707
Chlorobi,counts.20120800_S1X,16.0677890088168
Chloroflexi,counts.20120800_S1X,0
Deltaproteobacteria,counts.20120800_S1X,128.180625310986
Elusimicrobia,counts.20120800_S1X,0
Euryarchaeota,counts.20120800_S1X,0
FCPU426,counts.20120800_S1X,65.2294756191041
Fibrobacteres,counts.20120800_S1X,64.499657236427
Nitrospirae,counts.20120800_S1X,0
Acidobacteria,counts.20120700_E3M,22.0602886297228
Actinobacteria,counts.20120700_E3M,6.58400012918585
Aminicenantes,counts.20120700_E3M,1.78243290051301
Bacteroidetes,counts.20120700_E3M,30.1278942344131
Chlorobi,counts.20120700_E3M,24.101240969649
Chloroflexi,counts.20120700_E3M,4.80985115731567
Deltaproteobacteria,counts.20120700_E3M,89.1066423677808
Elusimicrobia,counts.20120700_E3M,1.74196101573951
Euryarchaeota,counts.20120700_E3M,7.54716771895272
FCPU426,counts.20120700_E3M,0.317329261958141
Fibrobacteres,counts.20120700_E3M,29.8022842995309
Nitrospirae,counts.20120700_E3M,2.92525927220075
Acidobacteria,counts.20120700_E3D,32.6804686474898
Actinobacteria,counts.20120700_E3D,7.34324142729844
Aminicenantes,counts.20120700_E3D,3.10330273860984
Bacteroidetes,counts.20120700_E3D,29.0334277730355
Chlorobi,counts.20120700_E3D,43.8373006772242
Chloroflexi,counts.20120700_E3D,80.8759347903629
Deltaproteobacteria,counts.20120700_E3D,81.6636143294624
Elusimicrobia,counts.20120700_E3D,0.638786372515183
Euryarchaeota,counts.20120700_E3D,10.2112887561892
FCPU426,counts.20120700_E3D,1.78682980778412
Fibrobacteres,counts.20120700_E3D,19.3420294785968
Nitrospirae,counts.20120700_E3D,0.795384948061238
Acidobacteria,counts.20120700_S1D,456.014985250571
Actinobacteria,counts.20120700_S1D,43.8617086937865
Aminicenantes,counts.20120700_S1D,50.307649071274
Bacteroidetes,counts.20120700_S1D,0
Chlorobi,counts.20120700_S1D,35.707927249393
Chloroflexi,counts.20120700_S1D,0
Deltaproteobacteria,counts.20120700_S1D,308.464644744026
Elusimicrobia,counts.20120700_S1D,5.84084028126382
Euryarchaeota,counts.20120700_S1D,0
FCPU426,counts.20120700_S1D,25.4643277122407
Fibrobacteres,counts.20120700_S1D,199.394143526661
Nitrospirae,counts.20120700_S1D,0
Actinobacteria,counts.20120600_S2M,306.65557164969
Aminicenantes,counts.20120600_S2M,205.01496386615
Bacteroidetes,counts.20120600_S2M,0
Chlorobi,counts.20120600_S2M,168.719095528853
Chloroflexi,counts.20120600_S2M,44.4126659636545
Deltaproteobacteria,counts.20120600_S2M,191.205644455714
Elusimicrobia,counts.20120600_S2M,17.0826072573733
Euryarchaeota,counts.20120600_S2M,15.5147962662568
FCPU426,counts.20120600_S2M,17.7321644389255
Fibrobacteres,counts.20120600_S2M,563.932499086231
Nitrospirae,counts.20120600_S2M,3.26923386271245
Acidobacteria,counts.20120600_S2D,504.728697580135
Actinobacteria,counts.20120600_S2D,95.1366083468212
Aminicenantes,counts.20120600_S2D,718.620587962785
Bacteroidetes,counts.20120600_S2D,4.44802541666054
Chlorobi,counts.20120600_S2D,96.5575337593404
Chloroflexi,counts.20120600_S2D,3.63092521179552
Deltaproteobacteria,counts.20120600_S2D,113.982433784891
Elusimicrobia,counts.20120600_S2D,0
Euryarchaeota,counts.20120600_S2D,0
FCPU426,counts.20120600_S2D,49.3793031395007
Fibrobacteres,counts.20120600_S2D,95.9688960803018
Nitrospirae,counts.20120600_S2D,0.758661332145969
Acidobacteria,counts.20120600_E1M,58.5062471407675
Actinobacteria,counts.20120600_E1M,29.723952220063
Aminicenantes,counts.20120600_E1M,5.0194005304323
Bacteroidetes,counts.20120600_E1M,90.3408892275929
Chlorobi,counts.20120600_E1M,16.0715654633837
Chloroflexi,counts.20120600_E1M,62.6959985763146
Deltaproteobacteria,counts.20120600_E1M,81.4296539534499
Elusimicrobia,counts.20120600_E1M,0
Euryarchaeota,counts.20120600_E1M,84.620563219159
FCPU426,counts.20120600_E1M,0.451220552292631
Fibrobacteres,counts.20120600_E1M,29.0365270438918
Nitrospirae,counts.20120600_E1M,3.9841072095021
Acidobacteria,counts.20120600_E1D,55.1191127462932
Actinobacteria,counts.20120600_E1D,13.5197450400354
Aminicenantes,counts.20120600_E1D,5.06509803235484
Bacteroidetes,counts.20120600_E1D,98.3470826977839
Chlorobi,counts.20120600_E1D,67.3963546230603
Chloroflexi,counts.20120600_E1D,184.864818942793
Deltaproteobacteria,counts.20120600_E1D,122.020227191007
Elusimicrobia,counts.20120600_E1D,0.535700369409934
Euryarchaeota,counts.20120600_E1D,53.396187991858
FCPU426,counts.20120600_E1D,0.930803275477599
Fibrobacteres,counts.20120600_E1D,27.0350116622611
Nitrospirae,counts.20120600_E1D,3.40061601384488
Acidobacteria,counts.20120800_E2D,3.97570220617744
Actinobacteria,counts.20120800_E2D,1.17622644730924
Aminicenantes,counts.20120800_E2D,0.981201671462357
Bacteroidetes,counts.20120800_E2D,12.0493706707258
Chlorobi,counts.20120800_E2D,10.1563801706216
Chloroflexi,counts.20120800_E2D,0.608089303184516
Deltaproteobacteria,counts.20120800_E2D,24.1363776179978
Elusimicrobia,counts.20120800_E2D,0
Euryarchaeota,counts.20120800_E2D,5.24968952082681
FCPU426,counts.20120800_E2D,0.193187726209698
Fibrobacteres,counts.20120800_E2D,26.6198617022618
Nitrospirae,counts.20120800_E2D,2.43386438628517
Acidobacteria,counts.20120800_E2M,44.9400916296976
Actinobacteria,counts.20120800_E2M,12.4438596951978
Aminicenantes,counts.20120800_E2M,7.33402219115969
Bacteroidetes,counts.20120800_E2M,23.594150762318
Chlorobi,counts.20120800_E2M,6.29648528233268
Chloroflexi,counts.20120800_E2M,14.1794047806748
Deltaproteobacteria,counts.20120800_E2M,45.8544535140698
Elusimicrobia,counts.20120800_E2M,1.2353038751077
Euryarchaeota,counts.20120800_E2M,8.57276870446055
FCPU426,counts.20120800_E2M,1.20553194105478
Fibrobacteres,counts.20120800_E2M,9.76312030245821
Nitrospirae,counts.20120800_E2M,3.33532093293413
Acidobacteria,counts.20120800_E3D,0.0694145845933825
Actinobacteria,counts.20120800_E3D,0.0467934443627644
Aminicenantes,counts.20120800_E3D,0.799460629985887
Bacteroidetes,counts.20120800_E3D,18.2466447151129
Chlorobi,counts.20120800_E3D,12.3145553036302
Chloroflexi,counts.20120800_E3D,0
Deltaproteobacteria,counts.20120800_E3D,36.7346050827395
Elusimicrobia,counts.20120800_E3D,0.583404833696953
Euryarchaeota,counts.20120800_E3D,11.829456256329
FCPU426,counts.20120800_E3D,2.21847556110424
Fibrobacteres,counts.20120800_E3D,0
Nitrospirae,counts.20120800_E3D,0
Acidobacteria,counts.20110600_E1M,20.8819197937312
Actinobacteria,counts.20110600_E1M,12.3034341211735
Aminicenantes,counts.20110600_E1M,2.95992101251724
Bacteroidetes,counts.20110600_E1M,65.7925116939782
Chlorobi,counts.20110600_E1M,10.7578735397164
Chloroflexi,counts.20110600_E1M,6.56372877611228
Deltaproteobacteria,counts.20110600_E1M,80.3094363859503
Elusimicrobia,counts.20110600_E1M,0.512832374271959
Euryarchaeota,counts.20110600_E1M,4.61626016317923
FCPU426,counts.20110600_E1M,0.160787542651801
Fibrobacteres,counts.20110600_E1M,2.99656335324924
Nitrospirae,counts.20110600_E1M,5.57220007714811
Acidobacteria,counts.20110600_E1D,23.4143467784296
Actinobacteria,counts.20110600_E1D,11.2085992521182
Aminicenantes,counts.20110600_E1D,2.14295052351703
Bacteroidetes,counts.20110600_E1D,83.380984273621
Chlorobi,counts.20110600_E1D,34.8462845876749
Chloroflexi,counts.20110600_E1D,65.6632581336255
Deltaproteobacteria,counts.20110600_E1D,88.5848819499161
Elusimicrobia,counts.20110600_E1D,1.71596015300138
Euryarchaeota,counts.20110600_E1D,5.50280713822595
FCPU426,counts.20110600_E1D,0.784876659447821
Fibrobacteres,counts.20110600_E1D,4.05032789125214
Nitrospirae,counts.20110600_E1D,6.46144237820084
Acidobacteria,counts.20100900_E2S,24.1321503149545
Actinobacteria,counts.20100900_E2S,9.65368437728732
Aminicenantes,counts.20100900_E2S,3.27491403115855
Bacteroidetes,counts.20100900_E2S,40.9261224191276
Chlorobi,counts.20100900_E2S,15.5209124927142
Chloroflexi,counts.20100900_E2S,3.68031144115861
Deltaproteobacteria,counts.20100900_E2S,54.4529871924905
Elusimicrobia,counts.20100900_E2S,0.659786381225159
Euryarchaeota,counts.20100900_E2S,22.1765988780323
FCPU426,counts.20100900_E2S,0.429903094968237
Fibrobacteres,counts.20100900_E2S,27.3779297235214
Nitrospirae,counts.20100900_E2S,0.577236948505442
Acidobacteria,counts.20100900_E1D,69.4580105045245
Actinobacteria,counts.20100900_E1D,10.5287770918097
Aminicenantes,counts.20100900_E1D,9.39222628992388
Bacteroidetes,counts.20100900_E1D,21.9101204997582
Chlorobi,counts.20100900_E1D,52.7956196653676
Chloroflexi,counts.20100900_E1D,67.6125659161261
Deltaproteobacteria,counts.20100900_E1D,63.6576598544314
Elusimicrobia,counts.20100900_E1D,0
