GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_004322855.1	8702948	GCF_004322855.1	8710258	
GCA_004300825.1	8650538	GCF_004300825.1	8674288	
GCA_003553145.1	7429888	N/A	N/A	
GCA_003553565.1	7430328	N/A	N/A	
GCA_003553685.1	7430438	N/A	N/A	
GCA_003553795.1	7430558	N/A	N/A	
GCA_003554005.1	7430778	N/A	N/A	
GCA_003555205.1	7431978	N/A	N/A	
GCA_003556145.1	7433938	N/A	N/A	
GCA_003556365.1	7434138	N/A	N/A	
GCA_003557985.1	7435768	N/A	N/A	
GCA_003558435.1	7436218	N/A	N/A	
GCA_003558485.1	7436278	N/A	N/A	
GCA_003558755.1	7436558	N/A	N/A	
GCA_003560415.1	7438208	N/A	N/A	
GCA_003561535.1	7439328	N/A	N/A	
GCA_003561955.1	7439758	N/A	N/A	
GCA_003562035.1	7439818	N/A	N/A	
GCA_003563215.1	7441008	N/A	N/A	
GCA_003563915.1	7441708	N/A	N/A	
GCA_003564115.1	7441898	N/A	N/A	
GCA_003564215.1	7441998	N/A	N/A	
GCA_003565155.1	7442938	N/A	N/A	
GCA_003568175.1	7445978	N/A	N/A	
GCA_003550425.1	7427168	N/A	N/A	
GCA_003550735.1	7427498	N/A	N/A	
GCA_003550915.1	7427678	N/A	N/A	
GCA_003551885.1	7428638	N/A	N/A	
GCA_003552015.1	7428778	N/A	N/A	
GCA_003074135.1	6428948	GCF_003074135.1	7203088	
GCA_003344865.1	6959398	GCF_003344865.1	6963558	
GCA_003073135.1	6425978	GCF_003073135.1	6426878	
GCA_000969705.1	1722938	GCF_000969705.1	2249648	
