"ID","NCBI Organism Name","NCBI Taxonomy","GTDB Taxonomy","NCBI Type Material"
"GCA_001313025.1","Conexibacter sp. JCM 18997","d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__Conexibacter; s__","Undefined (Failed Quality Check)",""
"GCA_001464275.1","Actinobacteria bacterium Ga0077560","d__Bacteria; p__Actinobacteria; c__; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Ga0077560; f__Ga0077560; g__Ga0077560; s__Ga0077560 sp001464275",""
"GCA_001464995.1","Actinobacteria bacterium Ga0077541","d__Bacteria; p__Actinobacteria; c__; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Ga0077560; f__Ga0077560; g__Ga0077541; s__Ga0077541 sp001464995",""
"GCA_001768675.1","Actinobacteria bacterium RBG_16_64_13","d__Bacteria; p__Actinobacteria; c__; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__RBG-16-64-13; f__RBG-16-64-13; g__RBG-16-64-13; s__RBG-16-64-13 sp001768675",""
"GCA_001897355.1","Solirubrobacterales bacterium 67-14","d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__70-9; g__67-14; s__67-14 sp001897355",""
"GCA_001898095.1","Solirubrobacterales bacterium 70-9","d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Undefined (Failed Quality Check)",""
"GCA_001914705.1","Actinobacteria bacterium 13_2_20CM_68_14","d__Bacteria; p__Actinobacteria; c__; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__13-2-20CM-68-14; s__13-2-20CM-68-14 sp001914705",""
"GCA_001920085.1","Actinobacteria bacterium 13_1_20CM_4_69_9","d__Bacteria; p__Actinobacteria; c__; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__3-1-20CM-4-69-9; s__3-1-20CM-4-69-9 sp001920085",""
"GCA_002347645.1","Thermoleophilia bacterium UBA2241","d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__UBA2241; s__UBA2241 sp002347645",""
"GCA_002413095.1","Thermoleophilia bacterium UBA5186","d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__UBA5186; s__UBA5186 sp002413095",""
"GCA_002423545.1","Thermoleophilia bacterium UBA6103","d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__UBA6103; s__UBA6103 sp002423545",""
"GCA_002737265.1","Thermoleophilia bacterium","d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__; f__; g__; s__","Undefined (Failed Quality Check)",""
"GCA_002897715.1","bacterium BMS3Abin01","d__Bacteria; p__; c__; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__BMS3ABIN01; f__BMS3ABIN01; g__BMS3ABIN01; s__BMS3ABIN01 sp002897715",""
"GCA_002898855.1","bacterium HR41","d__Bacteria; p__; c__; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Thermoleophilaceae; g__Thermoleophilum; s__Thermoleophilum sp002898855",""
"GCA_002919115.1","bacterium","d__Bacteria; p__; c__; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__70-9; g__RSA11; s__RSA11 sp002919115",""
"GCA_003132505.1","Solirubrobacterales bacterium","d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Palsa-513; s__Palsa-513 sp003132505",""
"GCA_003132565.1","Solirubrobacterales bacterium","d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Palsa-513; s__Palsa-513 sp003132505",""
"GCA_003132585.1","Actinobacteria bacterium","d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__PALSA-647; s__PALSA-647 sp003132585",""
"GCA_003132645.1","Actinobacteria bacterium","d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__UBA2241; f__UBA2241; g__Bog-752; s__Bog-752 sp003132645",""
"GCA_003132665.1","Actinobacteria bacterium","d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__20CM-4-69-9; f__20CM-4-69-9; g__Fen-549; s__Fen-549 sp003132665",""
"GCA_003133565.1","Solirubrobacterales bacterium","d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Palsa-513; s__Palsa-513 sp003133565",""
