genome_name	new_name	taxonomy
2236347068	bacteria00001	Proteobacteria
2236347069	bacteria00002	Proteobacteria
2236661000	bacteria00003	Proteobacteria
2236661001	bacteria00004	Actinobacteria
2236661002	bacteria00005	Actinobacteria
2236661003	bacteria00006	Actinobacteria
2236661004	bacteria00007	Actinobacteria
2236661005	bacteria00008	Actinobacteria
2236661006	bacteria00009	Actinobacteria
2236661007	bacteria00010	Actinobacteria
2236661008	bacteria00011	Proteobacteria
2236661009	bacteria00012	Actinobacteria
2236876027	bacteria00013	Proteobacteria
2236876028	bacteria00014	Actinobacteria
2236876029	bacteria00015	Proteobacteria
2236876030	bacteria00016	Proteobacteria
2236876031	bacteria00017	Proteobacteria
2236876032	bacteria00018	Proteobacteria
2264265094	bacteria00019	Proteobacteria
2264265190	bacteria00020	Actinobacteria
2505679121	bacteria00021	Actinobacteria
2518285508	bacteria00022	Proteobacteria
2519103005	bacteria00023	Proteobacteria
2519899769	bacteria00024	Actinobacteria
2524023172	bacteria00025	Actinobacteria
2524023174	bacteria00026	Proteobacteria
2524023175	bacteria00027	Verrucomicrobia
2524023176	bacteria00028	Proteobacteria
2524023178	bacteria00029	Proteobacteria
2524023179	bacteria00030	Actinobacteria
2524023189	bacteria00031	Actinobacteria
2541046968	bacteria00032	Bacteroidetes
2545555807	bacteria00033	Bacteroidetes
2545555832	bacteria00034	Actinobacteria
2582580512	bacteria00035	Planctomycetes
2582580513	bacteria00036	Actinobacteria
2582580514	bacteria00037	Tenericutes
2582580515	bacteria00038	Proteobacteria
2582580516	bacteria00039	Proteobacteria
2582580517	bacteria00040	Actinobacteria
2582580518	bacteria00041	Cyanobacteria
2582580519	bacteria00042	Bacteroidetes
2582580520	bacteria00043	Actinobacteria
2582580521	bacteria00044	Verrucomicrobia
2582580522	bacteria00045	Planctomycetes
2582580523	bacteria00046	Verrucomicrobia
2582580524	bacteria00047	Verrucomicrobia
2582580525	bacteria00048	Cyanobacteria
2582580526	bacteria00049	Bacteroidetes
2582580527	bacteria00050	Bacteroidetes
2582580528	bacteria00051	Actinobacteria
2582580529	bacteria00052	Planctomycetes
2582580530	bacteria00053	Actinobacteria
2582580531	bacteria00054	Cyanobacteria
2582580532	bacteria00055	Bacteroidetes
2582580533	bacteria00056	Bacteroidetes
2582580534	bacteria00057	[Blank]
2582580535	bacteria00058	Bacteroidetes
2582580536	bacteria00059	Planctomycetes
2582580537	bacteria00060	Cyanobacteria
2582580538	bacteria00061	Proteobacteria
2582580539	bacteria00062	Actinobacteria
2582580540	bacteria00063	[Blank]
2582580541	bacteria00064	Bacteroidetes
2582580542	bacteria00065	Planctomycetes
2582580543	bacteria00066	Bacteroidetes
2582580544	bacteria00067	Actinobacteria
2582580545	bacteria00068	[Blank]
2582580546	bacteria00069	Verrucomicrobia
2582580547	bacteria00070	Planctomycetes
2582580548	bacteria00071	Bacteroidetes
2582580549	bacteria00072	Bacteroidetes
2582580550	bacteria00073	Actinobacteria
2582580551	bacteria00074	Cyanobacteria
2582580552	bacteria00075	Cyanobacteria
2582580553	bacteria00076	Actinobacteria
2582580554	bacteria00077	Actinobacteria
2582580555	bacteria00078	Actinobacteria
2582580556	bacteria00079	Proteobacteria
2582580557	bacteria00080	Proteobacteria
2582580558	bacteria00081	Planctomycetes
2582580559	bacteria00082	Verrucomicrobia
2582580560	bacteria00083	Planctomycetes
2582580561	bacteria00084	Proteobacteria
2582580562	bacteria00085	[Blank]
2582580563	bacteria00086	Bacteroidetes
2582580564	bacteria00087	Actinobacteria
2582580565	bacteria00088	Actinobacteria
2582580566	bacteria00089	Proteobacteria
2582580567	bacteria00090	Cyanobacteria
2582580568	bacteria00091	Bacteroidetes
2582580569	bacteria00092	Planctomycetes
2582580570	bacteria00093	Proteobacteria
2582580571	bacteria00094	Bacteroidetes
2582580572	bacteria00095	Actinobacteria
2582580573	bacteria00096	Verrucomicrobia
2582580574	bacteria00097	Chloroflexi
2582580575	bacteria00098	Actinobacteria
2582580576	bacteria00099	Cyanobacteria
2582580577	bacteria00100	Cyanobacteria
2582580578	bacteria00101	Planctomycetes
2582580579	bacteria00102	[Blank]
2582580580	bacteria00103	Bacteroidetes
2582580581	bacteria00104	Proteobacteria
2582580582	bacteria00105	Bacteroidetes
2582580583	bacteria00106	Bacteroidetes
2582580584	bacteria00107	Cyanobacteria
2582580585	bacteria00108	Bacteroidetes
2582580586	bacteria00109	Bacteroidetes
2582580587	bacteria00110	Bacteroidetes
2582580588	bacteria00111	Bacteroidetes
2582580589	bacteria00112	Bacteroidetes
2582580590	bacteria00113	Bacteroidetes
2582580591	bacteria00114	Cyanobacteria
2582580592	bacteria00115	Bacteroidetes
2582580593	bacteria00116	Verrucomicrobia
2582580594	bacteria00117	Chlamydiae
2582580595	bacteria00118	Actinobacteria
2582580596	bacteria00119	Bacteroidetes
2582580597	bacteria00120	Bacteroidetes
2582580598	bacteria00121	Proteobacteria
2582580599	bacteria00122	Bacteroidetes
2582580600	bacteria00123	Proteobacteria
2582580601	bacteria00124	Bacteroidetes
2582580602	bacteria00125	Bacteroidetes
2582580603	bacteria00126	Bacteroidetes
2582580604	bacteria00127	Planctomycetes
2582580605	bacteria00128	Bacteroidetes
2582580606	bacteria00129	Planctomycetes
2582580607	bacteria00130	Verrucomicrobia
2582580608	bacteria00131	Actinobacteria
2582580609	bacteria00132	Proteobacteria
2582580610	bacteria00133	Bacteroidetes
2582580611	bacteria00134	Planctomycetes
2582580612	bacteria00135	Tenericutes
2582580613	bacteria00136	Bacteroidetes
2582580614	bacteria00137	Bacteroidetes
2582580615	bacteria00138	Proteobacteria
2582580616	bacteria00139	Verrucomicrobia
2582580617	bacteria00140	Actinobacteria
2582580620	bacteria00141	Proteobacteria
2582580621	bacteria00142	Proteobacteria
2582580622	bacteria00143	Chlorobi
2582580623	bacteria00144	Proteobacteria
2582580624	bacteria00145	Proteobacteria
2582580625	bacteria00146	Chlorobi
2582580627	bacteria00147	Actinobacteria
2582580628	bacteria00148	Actinobacteria
2582580629	bacteria00149	Proteobacteria
2582580630	bacteria00150	Actinobacteria
2582580631	bacteria00151	Actinobacteria
2582580632	bacteria00152	Actinobacteria
2582580633	bacteria00153	Proteobacteria
2582580634	bacteria00154	Actinobacteria
2582580635	bacteria00155	Actinobacteria
2582580637	bacteria00156	Proteobacteria
2582580638	bacteria00157	Verrucomicrobia
2582580639	bacteria00158	Proteobacteria
2582580640	bacteria00159	Bacteroidetes
2582580641	bacteria00160	Acidobacteria
2582580642	bacteria00161	Proteobacteria
2582580643	bacteria00162	Bacteroidetes
2582580644	bacteria00163	Proteobacteria
2582580646	bacteria00164	Proteobacteria
2582580647	bacteria00165	Bacteroidetes
2582580648	bacteria00166	Acidobacteria
2582580649	bacteria00167	Proteobacteria
2582580650	bacteria00168	Proteobacteria
2582580651	bacteria00169	Chlorobi
2582580652	bacteria00170	[Blank]
2582580653	bacteria00171	Proteobacteria
2582580654	bacteria00172	Proteobacteria
2582580657	bacteria00173	Actinobacteria
2582580658	bacteria00174	Proteobacteria
2582580659	bacteria00175	Proteobacteria
2582580662	bacteria00176	Acidobacteria
2582580663	bacteria00177	[Blank]
2582580664	bacteria00178	Verrucomicrobia
2582580665	bacteria00179	Verrucomicrobia
2582580668	bacteria00180	Verrucomicrobia
2582580669	bacteria00181	Bacteroidetes
