genome_name	taxonomy
GCA_000005825.2	Bacillus pseudofirmus OF4 
GCA_000005845.2	Escherichia coli str. K-12 substr. MG1655 
GCA_000006175.2	Methanococcus voltae A3 
GCA_000006605.1	Corynebacterium jeikeium K411 
GCA_000006625.1	Ureaplasma parvum serovar 3 str. ATCC 700970 
GCA_000006645.1	Yersinia pestis KIM10+ 
GCA_000006685.1	Chlamydia muridarum str. Nigg 
GCA_000006725.1	Xylella fastidiosa 9a5c 
GCA_000006745.1	Vibrio cholerae O1 biovar El Tor str. N16961 
GCA_000006765.1	Pseudomonas aeruginosa PAO1 
GCA_000006785.2	Streptococcus pyogenes M1 GAS 
GCA_000006805.1	Halobacterium salinarum NRC-1 
GCA_000006825.1	Pasteurella multocida subsp. multocida str. Pm70 
GCA_000006845.1	Neisseria gonorrhoeae FA 1090 
GCA_000006865.1	Lactococcus lactis subsp. lactis Il1403 
GCA_000006885.1	Streptococcus pneumoniae TIGR4 
GCA_000006905.1	Caulobacter crescentus CB15 
GCA_000006925.2	Shigella flexneri 2a str. 301 
GCA_000006945.2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 
GCA_000006965.1	Sinorhizobium meliloti 1021 
GCA_000006985.1	Chlorobium tepidum TLS 
GCA_000007005.1	Sulfolobus solfataricus P2 
GCA_000007025.1	Rickettsia conorii str. Malish 7 
GCA_000007045.1	Streptococcus pneumoniae R6 
GCA_000007065.1	Methanosarcina mazei Go1 
GCA_000007085.1	Caldanaerobacter subterraneus subsp. tengcongensis MB4 
GCA_000007105.1	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821 
GCA_000007125.1	Brucella melitensis bv. 1 str. 16M 
GCA_000007145.1	Xanthomonas campestris pv. campestris str. ATCC 33913 
GCA_000007165.1	Xanthomonas axonopodis pv. citri str. 306 
GCA_000007185.1	Methanopyrus kandleri AV19 
GCA_000007205.1	Chlamydophila pneumoniae TW-183 
GCA_000007225.1	Pyrobaculum aerophilum str. IM2 
GCA_000007245.1	Xylella fastidiosa Temecula1 
GCA_000007265.1	Streptococcus agalactiae 2603V/R 
GCA_000007285.1	Streptococcus pyogenes MGAS8232 
GCA_000007305.1	Pyrococcus furiosus DSM 3638 
GCA_000007325.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586 
GCA_000007345.1	Methanosarcina acetivorans C2A 
GCA_000007365.1	Buchnera aphidicola str. Sg  
GCA_000007385.1	Xanthomonas oryzae pv. oryzae KACC 10331 
GCA_000007405.1	Shigella flexneri 2a str. 2457T 
GCA_000007425.1	Streptococcus pyogenes MGAS315 
GCA_000007445.1	Escherichia coli CFT073 
GCA_000007465.2	Streptococcus mutans UA159 
GCA_000007485.1	Tropheryma whipplei str. Twist 
GCA_000007505.1	Brucella suis 1330 
