bacteria30034,Verruco_0031,PVC
bacteria30025,Syntrophobacterales_0012,Deltaproteobacteria
bacteria30019,Geobacteerales_0032,Deltaproteobacteria
bacteria30016,Desulfobacterales_0034,Deltaproteobacteria
bacteria30002,Actinobacteria,Actinobacteria
bacteria23317,Candidatus Aminicenantes,Candidatus Aminicenantes
bacteria23314,Candidatus Aminicenantes,Candidatus Aminicenantes
bacteria23313,Eisenbacteria,Eisenbacteria
bacteria23311,Deltaproteobacteria,Deltaproteobacteria
bacteria23267,Deltaproteobacteria,Deltaproteobacteria
bacteria23260,Deltaproteobacteria,Deltaproteobacteria
bacteria23257,Deltaproteobacteria,Deltaproteobacteria
bacteria01060v2,Deltaproteobacteria,Deltaproteobacteria
bacteria00193,2582580684,Deltaproteobacteria
2757320506,Deltaproteobacteria,Deltaproteobacteria
2757320505,Deltaproteobacteria,Deltaproteobacteria
2757320496,Spirochaetes,Spirochaetes
GCA_900187405.1,Geobacter sp. DSM 9736,Deltaproteobacteria
GCA_900176285.1,Desulfacinum hydrothermale DSM 13146,Deltaproteobacteria
GCA_900167235.1,Desulfococcus multivorans DSM 2059,Deltaproteobacteria
GCA_900129305.1,Desulfacinum infernum DSM 9756,Deltaproteobacteria
GCA_900114115.1,Desulfomicrobium apsheronum,Deltaproteobacteria
GCA_900103065.1,Geoalkalibacter ferrihydriticus,Deltaproteobacteria
GCA_900101345.1,Desulfoluna spongiiphila,Deltaproteobacteria
GCA_007559175.1,Geobacter sp.,Deltaproteobacteria
GCA_006226895.1,Deltaproteobacteria bacterium,Deltaproteobacteria
GCA_005774545.1,Deltaproteobacteria bacterium,Deltaproteobacteria
GCA_005116675.1,Desulfopila sp. IMCC35004,Deltaproteobacteria
GCA_004917075.1,Geobacter sp. Red53,Deltaproteobacteria
GCA_004917065.1,Geobacter sp. S62,Deltaproteobacteria
GCA_004791675.1,Geobacter sp. Red111,Deltaproteobacteria
GCA_004525935.1,Lentisphaerales bacterium,PVC;Lentisphaerae
GCA_004525355.1,Spirochaetales bacterium,Spirochaetes
GCA_004365595.1,Pseudodesulfovibrio indicus,Deltaproteobacteria
GCA_004343635.1,Dehalobacter sp. 14DCB1,Firmicutes
GCA_004343605.1,Dehalobacter sp. 12DCB1,Firmicutes
GCA_004322245.1,Bacteriodetes bacterium,Bacteroidetes
GCA_004025585.1,Pseudodesulfovibrio sp. S3,Deltaproteobacteria
GCA_003712145.1,Desulfuromonadales bacterium,Deltaproteobacteria
GCA_003646975.1,Deltaproteobacteria bacterium,Deltaproteobacteria
GCA_003605055.1,Desulfarculus sp.,Deltaproteobacteria
GCA_003599615.1,Desulfobacteraceae bacterium,Deltaproteobacteria
GCA_003590275.1,Dehalobacter sp. MCB1,Firmicutes
GCA_003574895.1,Geobacter sp.,Deltaproteobacteria
GCA_003574885.1,Geobacter sp.,Deltaproteobacteria
GCA_003574175.1,Geobacter sulfurreducens,Deltaproteobacteria
GCA_003567715.1,Syntrophomonadaceae bacterium,Firmicutes
GCA_003567515.1,Syntrophomonadaceae bacterium,Firmicutes
GCA_003563695.1,Syntrophomonadaceae bacterium,Firmicutes
GCA_003563065.1,Syntrophomonadaceae bacterium,Firmicutes
GCA_003556225.1,Syntrophomonadaceae bacterium,Firmicutes
GCA_003555305.1,Syntrophomonadaceae bacterium,Firmicutes
GCA_003554395.1,Syntrophomonadaceae bacterium,Firmicutes
