GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000007525.1	8328	GCF_000007525.1	29108	
GCA_000011325.1	12128	GCF_000011325.1	32488	
GCA_000015005.1	15808	GCF_000015005.1	36108	
GCA_000023405.1	24208	GCF_000023405.1	44148	
GCA_000069185.1	353848	GCF_000069185.1	87788	
GCA_000159155.2	255808	GCF_000159155.2	318508	
GCA_000165905.1	201108	GCF_000165905.1	275348	
GCA_000195835.2	5627818	GCF_000195835.2	5682338	
GCA_000195855.1	256678	GCF_000195855.1	264318	
GCA_000195955.2	538028	GCF_000195955.2	538048	
GCA_000196835.1	257658	GCF_000196835.1	265198	
GCA_000203835.1	265608	GCF_000203835.1	276348	
