2744054410	LNAEIIIA_01091
2744054411	OEHLNAEF_00381
2757320495	ABECALNF_01756
2757320496	FGCILFFA_01197
2757320497	HIIELDKG_03622
2757320499	BGCOADPE_03476
2757320500	BEOPBIGF_01979
2757320501	PJJMJMJF_01718
2757320502	HLDOOGOK_00366
2757320503	OACNKDBK_03161
2757320505	LPHEHGCF_01051
2757320506	NCHDFLNA_03512
2757320507	IEEJNIJO_01080
2757320508	GBGOIMGM_01496
2757320509	EMCPGNPG_01740
2757320510	ABKAODCG_02352
archaea30022	BIMDFBEB_00202
bacteria00190	EEIMFIFM_01321
bacteria00193	PKBCNPMC_01238
bacteria00203	DLLPHHKL_01824
bacteria00229	FECEEEKA_03016
bacteria01060v2	AMHNPFFG_01390
bacteria23257	DAACLOMH_02971
bacteria23258	PDNEIIOK_00385
bacteria23259	JKMHOLBA_03522
bacteria23260	IPKECIND_00573
bacteria23263	BJKBINHJ_03537
bacteria23265	OOECHHAB_00418
bacteria23266	GCDJNNGD_01605
bacteria23267	OGJOJHJF_00538
bacteria23268	AEGEFDPH_02348
bacteria23272	HMOMGDDF_04735
bacteria23311	KJEOFFCG_00323
bacteria23313	FLCNMCCD_00072
bacteria23314	BPLGDHLP_00735
bacteria23315	GDCGGGAB_00646
bacteria23317	IKMIANKJ_02222
bacteria30001	JBLJILFH_01392
bacteria30002	JFIAJEEN_03281
bacteria30003	HJDAENCM_00940
bacteria30004	MNKGMMAP_01750
bacteria30005	ABPFLJBK_01642
bacteria30006	MIGOLCED_00865
bacteria30007	KENEHFCJ_00134
bacteria30008	CDDDOPNL_00951
bacteria30010	GFBCFADM_01498
bacteria30011	JPKGDFDE_02500
bacteria30012	DDOAOOAJ_00659
bacteria30013	DNBDMGIE_01467
bacteria30014	DIKFMIPC_02784
bacteria30015	KCMKPDBG_02832
bacteria30016	LGLOFBJP_02668
bacteria30017	ELGMNEEA_00069
bacteria30018	EMAJKIMA_00638
bacteria30019	CMKOBKAJ_02904
bacteria30020	LPBABAGL_00429
bacteria30021	JLEEPOFI_00535
bacteria30023	KNPLNPGO_00776
bacteria30024	AJNACDDJ_02647
bacteria30025	OHKJCPIE_01742
bacteria30026	FBIOAIBI_00491
bacteria30027	AILFPFHK_02303
bacteria30028	LNFDEICF_01629
bacteria30029	AOPCDDHB_00756
bacteria30030	GNPGHJGE_00015
bacteria30031	PLAHAMAM_02579
bacteria30032	NOHJHLCI_01732
bacteria30033	GEODFCDF_02399
bacteria30034	LOMEGGKO_05334
bacteria30035	DBKHENGB_02450
bacteria30036	FNBLJPLD_01728
GCA_000007985.2	JLBDOOEP_01437
GCA_000011005.1	LPHPIJGE_00745
GCA_000012925.1	NOEKPPCC_01271
GCA_000013405.1	FEGEIJOP_02746
GCA_000013445.1	PDDGDOMI_00954
GCA_000016745.1	DHKEEKAF_00505
GCA_000017625.1	LEJFPFGL_00440
GCA_000020725.1	IPBLDDEA_01214
GCA_000021965.1	HMJEKIEB_01043
GCA_000022265.1	CFCMBAHF_02505
GCA_000023225.1	FEOPKKAO_00389
GCA_000023645.1	JBGFFMOA_03094
GCA_000063445.1	OOGDEKMJ_00842
GCA_000174415.1	MAEEJLFG_00003
GCA_000174435.1	KNCAOJPE_01038
GCA_000175115.2	NOAOENBJ_01046
GCA_000176915.2	EJOBKJBF_02713
GCA_000178115.2	MKAFJNDH_00993
GCA_000179315.1	HHNDJNLI_00622
GCA_000179595.2	IFOIEPLI_00059
GCA_000186885.1	GAFAKDOP_00434
GCA_000189295.2	HBPFIMBA_01085
GCA_000190635.1	EAMKJMCM_02375
GCA_000210155.1	CFPPKEBE_01408
GCA_000212675.2	JKKFMICO_00117
GCA_000219125.2	ONKCPCPH_03788
GCA_000224515.2	CODDIPFD_00437
GCA_000231405.3	ACCBMJEC_01724
GCA_000235605.1	BLDBGEHN_02595
GCA_000243135.3	BDEBGKKP_00765
GCA_000243155.3	LLKGBECD_02747
GCA_000243475.2	OKMMACCE_02721
GCA_000244895.1	FBAHGGGA_04170
GCA_000255115.3	KJAPFONA_01597
GCA_000266945.1	IABCJLNJ_01024
GCA_000275865.1	OHHGINPP_00514
GCA_000300195.1	DAFOPDJE_03701
GCA_000305775.1	FBOANMCK_01089
GCA_000305815.1	OMPMLNDN_01169
GCA_000306725.1	HHDAACJM_02646
GCA_000308215.1	HBHAPLFH_00812
GCA_000327485.1	LIGJDFKK_00958
GCA_000328665.1	KJFMNEMA_00629
GCA_000341655.1	NMKGPJJK_00332
GCA_000344315.1	MGPJOBDB_01236
GCA_000350485.1	JDHHIFCH_02788
GCA_000350545.1	GOOLHGDD_03285
GCA_000375485.1	MHGMGIOA_02516
GCA_000384015.1	PMIJBOOF_02702
GCA_000384395.1	PBDDEDIN_01576
GCA_000420085.1	PLFFGBKI_02998
GCA_000420485.1	FCBPDCEE_00850
GCA_000421285.1	FLMIMOOB_03796
GCA_000422185.1	JOOJPNDK_00876
GCA_000422205.1	ADDELEHG_01576
GCA_000422245.1	CPCBDGPP_02363
GCA_000422545.1	ALNNOJKH_02616
GCA_000426865.1	FOAAPIFH_03512
GCA_000428825.1	MADBMPCB_03305
GCA_000429305.1	HNBFLDJL_03221
GCA_000429325.1	NDEPLOEL_01225
GCA_000429945.1	MMKJJMFE_01609
