genome1	taxonomy1	phylum1	genome2	taxonomy2	phylum2
bacteria14584	Clostridium sp. UBA4548	Firmicutes	bacteria13733	Clostridium tunisiense	Firmicutes
bacteria06389	Bdellovibrionales bacterium RIFOXYD1_FULL_55_31	Deltaproteobacteria	bacteria06383	Bdellovibrionales bacterium RIFOXYC1_FULL_54_43	Deltaproteobacteria
bacteria07767	Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_55_12	Deltaproteobacteria	bacteria05316	Deltaproteobacteria bacterium GWC2_55_46	Deltaproteobacteria
bacteria07767	Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_55_12	Deltaproteobacteria	bacteria07623	Deltaproteobacteria bacterium GWA2_55_82	Deltaproteobacteria
bacteria07753	Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_44	Deltaproteobacteria	bacteria08141	Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_42_39	Deltaproteobacteria
bacteria07753	Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_44	Deltaproteobacteria	bacteria07729	Deltaproteobacteria bacterium GWF2_42_12	Deltaproteobacteria
bacteria07753	Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_44	Deltaproteobacteria	bacteria07777	Deltaproteobacteria bacterium RIFOXYA2_FULL_42_10	Deltaproteobacteria
bacteria07753	Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_44	Deltaproteobacteria	bacteria07725	Deltaproteobacteria bacterium GWD2_42_10	Deltaproteobacteria
bacteria07713	Deltaproteobacteria bacterium GWA2_43_19	Deltaproteobacteria	bacteria07754	Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_43_33	Deltaproteobacteria
bacteria08090	Nitrospirae bacterium GWF2_44_13	Nitrospirae	bacteria08033	Nitrospirae bacterium RIFOXYB2_FULL_43_5	Nitrospirae
bacteria08090	Nitrospirae bacterium GWF2_44_13	Nitrospirae	bacteria08100	Nitrospirae bacterium RIFOXYC2_FULL_44_7	Nitrospirae
bacteria08090	Nitrospirae bacterium GWF2_44_13	Nitrospirae	bacteria08032	Nitrospirae bacterium RIFOXYA2_FULL_44_9	Nitrospirae
bacteria08015	Nitrospirae bacterium GWA2_46_11	Nitrospirae	bacteria08017	Nitrospirae bacterium GWB2_47_37	Nitrospirae
bacteria20803	Nitrospiraceae bacterium	Nitrospirae	bacteria21013	Nitrospiraceae bacterium	Nitrospirae
bacteria20803	Nitrospiraceae bacterium	Nitrospirae	bacteria20880	Nitrospiraceae bacterium	Nitrospirae
bacteria08677	Spirochaetes bacterium GWD1_61_31	Spirochaetes	bacteria08743	Spirochaetes bacterium GWF1_60_12	Spirochaetes
bacteria08677	Spirochaetes bacterium GWD1_61_31	Spirochaetes	bacteria08675	Spirochaetes bacterium GWC1_61_12	Spirochaetes
bacteria08677	Spirochaetes bacterium GWD1_61_31	Spirochaetes	bacteria08672	Spirochaetes bacterium GWB1_60_80	Spirochaetes
bacteria08677	Spirochaetes bacterium GWD1_61_31	Spirochaetes	bacteria08742	Spirochaetes bacterium GWE1_60_18	Spirochaetes
bacteria08763	Treponema sp. GWB1_62_6	Spirochaetes	bacteria08719	Treponema sp. GWA1_62_8	Spirochaetes
bacteria08680	Spirochaetes bacterium GWF1_31_7	Spirochaetes	bacteria08689	Spirochaetes bacterium RIFOXYB1_FULL_32_8	Spirochaetes
bacteria08680	Spirochaetes bacterium GWF1_31_7	Spirochaetes	bacteria08678	Spirochaetes bacterium GWE1_32_154	Spirochaetes
bacteria08680	Spirochaetes bacterium GWF1_31_7	Spirochaetes	bacteria08679	Spirochaetes bacterium GWE2_31_10	Spirochaetes
bacteria20671	Elusimicrobia bacterium	Elusimicrobia	bacteria20695	Elusimicrobia bacterium	Elusimicrobia
bacteria20898	Myxococcales bacterium	Deltaproteobacteria	bacteria20749	Myxococcales bacterium	Deltaproteobacteria
bacteria20898	Myxococcales bacterium	Deltaproteobacteria	bacteria20231	Myxococcales bacterium	Deltaproteobacteria
bacteria20888	Myxococcales bacterium	Deltaproteobacteria	bacteria20700	Myxococcales bacterium	Deltaproteobacteria
bacteria20888	Myxococcales bacterium	Deltaproteobacteria	bacteria20869	Myxococcales bacterium	Deltaproteobacteria
bacteria20888	Myxococcales bacterium	Deltaproteobacteria	bacteria20841	Myxococcales bacterium	Deltaproteobacteria
archaea00477	Methanomassiliicoccus sp. UBA393	Euryarchaeota	archaea00864	Methanomassiliicoccus sp. UBA364	Euryarchaeota
archaea00477	Methanomassiliicoccus sp. UBA393	Euryarchaeota	archaea00669	Methanomassiliicoccus sp. UBA335	Euryarchaeota
archaea00477	Methanomassiliicoccus sp. UBA393	Euryarchaeota	archaea00865	Methanomassiliicoccus sp. UBA360	Euryarchaeota
archaea00477	Methanomassiliicoccus sp. UBA393	Euryarchaeota	archaea00595	Methanomassiliicoccus sp. UBA321	Euryarchaeota
archaea00477	Methanomassiliicoccus sp. UBA393	Euryarchaeota	archaea00704	Methanomassiliicoccus sp. UBA345	Euryarchaeota
archaea00477	Methanomassiliicoccus sp. UBA393	Euryarchaeota	archaea00738	Methanomassiliicoccus sp. UBA429	Euryarchaeota
archaea00477	Methanomassiliicoccus sp. UBA393	Euryarchaeota	archaea00394	Methanomassiliicoccus sp. UBA382	Euryarchaeota
