genome_name	original_name	genome_size	completeness	redundancy	NCBI_taxonomy	gtdb_taxonomy	GTDB_phylum	NCBI_phylum
archaea00015	GCA_000011005.1	2.96	100	0.653594771	Methanocella paludicola SANAE 	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__	Halobacterota	Euryarchaeota
archaea00024	GCA_000013445.1	3.54	99.01960784	0.326797386	Methanospirillum hungatei JF-1 	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__	Halobacterota	Euryarchaeota
archaea00041	GCA_000017625.1	2.54	99.54248366	1.307189542	Methanoregula boonei 6A8 	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00050	GCA_000021965.1	2.92	99.83552632	0	Methanosphaerula palustris E1-9c 	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__	Halobacterota	Euryarchaeota
archaea00075	GCA_000063445.1	3.18	100	0	Methanocella arvoryzae MRE50 	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanocellales;f__Methanocellaceae;g__;s__	Halobacterota	Euryarchaeota
archaea00142	GCA_000306725.1	3.07	99.83660131	0	Methanolobus psychrophilus R15 	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus_A;s__	Halobacterota	Euryarchaeota
archaea00145	GCA_000327485.1	2.82	99.86928105	0	Methanoregula formicica SMSP 	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00148	GCA_000328665.1	2.71	99.83660131	0.326797386	Methanomethylovorans hollandica DSM 15978 	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__	Halobacterota	Euryarchaeota
archaea00312	GCA_002494705.1	1.71	95	0	Methanomassiliicoccus sp. UBA238	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00330	GCA_002495055.1	2.75	94.99547511	5.379587733	Methanoregula sp. UBA247	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00331	GCA_002495065.1	2.42	86.56427015	0.653594771	Methanoregula sp. UBA471	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00357	GCA_002495585.1	2.13	95.16129032	0.806451613	Methanomassiliicoccus sp. UBA292	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00366	GCA_002495775.1	2.01	82.48366013	0.897603486	Methanoregula sp. UBA244	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00394	GCA_002496345.1	1.96	94.90281224	0	Methanomassiliicoccus sp. UBA382	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00420	GCA_002496855.1	2.29	96.40522876	5.061169767	Methanolinea sp. UBA145	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	Halobacterota	Euryarchaeota
archaea00449	GCA_002497445.1	1.98	63.90145802	0	Methanoregula sp. UBA450	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00477	GCA_002497995.1	2.01	97.58064516	0.806451613	Methanomassiliicoccus sp. UBA393	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00491	GCA_002498285.1	1.83	84.71768752	0	Methanomassiliicoccus sp. UBA386	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00492	GCA_002498295.1	2.29	89.86928105	0.754147813	Methanoregula sp. UBA434	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00496	GCA_002498375.1	1.56	96.88741722	0	Methanocorpusculum sp. UBA424	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	Halobacterota	Euryarchaeota
archaea00512	GCA_002498705.1	1.6	96.86092715	0.662251656	Methanocorpusculum sp. UBA362	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	Halobacterota	Euryarchaeota
archaea00518	GCA_002498825.1	2.51	96.40522876	0	Methanolinea sp. UBA437	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	Halobacterota	Euryarchaeota
archaea00529	GCA_002499025.1	2.16	91.44461203	0	Methanoregula sp. UBA143	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00568	GCA_002499825.1	2.67	98.36601307	2.614379085	Methanolinea sp. UBA245	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	Halobacterota	Euryarchaeota
archaea00572	GCA_002499905.1	1.95	99.67320261	1.307189542	Methanolinea sp. UBA277	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__UBA9949;s__	Halobacterota	Euryarchaeota
archaea00595	GCA_002502005.1	1.92	85.84454312	0.806451613	Methanomassiliicoccus sp. UBA321	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00606	GCA_002502245.1	2.25	86.60130719	0	Methanoregula sp. UBA154	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00631	GCA_002502735.1	2.38	99.54248366	1.307189542	Methanoregula sp. UBA64	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00643	GCA_002502975.1	2.43	94.44444444	1.437908497	Methanolinea sp. UBA451	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	Halobacterota	Euryarchaeota
archaea00669	GCA_002503495.1	1.92	84.65260546	2.419354839	Methanomassiliicoccus sp. UBA335	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00676	GCA_002503645.1	1.85	79.25623612	0	Methanomassiliicoccus sp. UBA315	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00685	GCA_002503825.1	2.84	99.67320261	1.307189542	Methanoregulaceae archaeon UBA467	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__	Halobacterota	Euryarchaeota
archaea00704	GCA_002504525.1	2.13	95.03722084	0	Methanomassiliicoccus sp. UBA345	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00738	GCA_002505225.1	2.26	92.75009795	0	Methanomassiliicoccus sp. UBA429	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00781	GCA_002506085.1	1.81	97.7124183	0.653594771	Methanocorpusculaceae archaeon UBA425	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	Halobacterota	Euryarchaeota
archaea00783	GCA_002506105.1	2.23	93.79084967	0	Methanolinea sp. UBA275	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	Halobacterota	Euryarchaeota
archaea00784	GCA_002506145.1	2.17	85.51198257	0	Methanoregula sp. UBA274	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00816	GCA_002506785.1	2.48	95.66783979	0.326797386	Methanoregula sp. UBA452	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00857	GCA_002508425.1	2.47	95.26143791	2.941176471	Methanosarcinaceae archaeon UBA470	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__	Halobacterota	Euryarchaeota
archaea00859	GCA_002508465.1	4.26	88.99346405	0.653594771	Methanosarcina sp. UBA7	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__	Halobacterota	Euryarchaeota
archaea00861	GCA_002508495.1	1.93	68.62745098	0.871459695	Methanoregula sp. UBA276	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	Halobacterota	Euryarchaeota
archaea00863	GCA_002508545.1	2.36	97.31182796	0.806451613	Methanomassiliicoccus sp. UBA6	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__UBA10881;s__	Thermoplasmatota	Euryarchaeota
archaea00864	GCA_002508555.1	1.81	89.33002481	0	Methanomassiliicoccus sp. UBA364	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00865	GCA_002508585.1	1.88	88.30024814	0.806451613	Methanomassiliicoccus sp. UBA360	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	Thermoplasmatota	Euryarchaeota
archaea00911	GCA_002509495.1	2.2	92.32026144	0	Methanolinea sp. UBA473	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	Halobacterota	Euryarchaeota
archaea00912	GCA_002509505.1	2.45	97.07977208	1.960784314	Methanolinea sp. UBA155	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	Halobacterota	Euryarchaeota
archaea00943	GCA_003135935.1	2.08	94.23076923	0.806451613	Methanomassiliicoccaceae archaeon	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__;g__;s__	Thermoplasmatota	Euryarchaeota
