genome,phylum,codhC_TIGR00316,codhD_TIGR00381,codh_catalytic_TIGR01702
archaea00015,Euryarchaeota,0,0,0
archaea00024,Euryarchaeota,1,1,1
archaea00041,Euryarchaeota,2,2,1
archaea00050,Euryarchaeota,1,0,1
archaea00075,Euryarchaeota,1,1,0
archaea00142,Euryarchaeota,1,1,1
archaea00145,Euryarchaeota,2,2,0
archaea00148,Euryarchaeota,1,1,1
archaea00312,Euryarchaeota,1,1,1
archaea00330,Euryarchaeota,1,1,1
archaea00331,Euryarchaeota,1,1,1
archaea00357,Euryarchaeota,1,1,1
archaea00366,Euryarchaeota,0,0,1
archaea00394,Euryarchaeota,1,1,1
archaea00420,Euryarchaeota,1,0,1
archaea00449,Euryarchaeota,1,0,1
archaea00477,Euryarchaeota,1,1,1
archaea00491,Euryarchaeota,1,1,0
archaea00492,Euryarchaeota,1,1,1
archaea00496,Euryarchaeota,0,0,0
archaea00512,Euryarchaeota,0,0,0
archaea00518,Euryarchaeota,1,0,1
archaea00529,Euryarchaeota,1,1,1
archaea00568,Euryarchaeota,1,0,1
archaea00572,Euryarchaeota,1,1,0
archaea00595,Euryarchaeota,0,0,0
archaea00606,Euryarchaeota,1,1,1
archaea00631,Euryarchaeota,1,1,1
archaea00643,Euryarchaeota,1,0,1
archaea00669,Euryarchaeota,1,1,1
archaea00676,Euryarchaeota,1,1,0
archaea00685,Euryarchaeota,1,0,1
archaea00704,Euryarchaeota,1,1,1
archaea00738,Euryarchaeota,1,1,1
archaea00781,Euryarchaeota,0,0,0
archaea00783,Euryarchaeota,0,0,1
archaea00784,Euryarchaeota,1,1,1
archaea00816,Euryarchaeota,1,1,1
archaea00857,Euryarchaeota,1,1,1
archaea00859,Euryarchaeota,0,0,1
archaea00861,Euryarchaeota,2,2,0
archaea00863,Euryarchaeota,1,1,0
archaea00864,Euryarchaeota,1,1,1
archaea00865,Euryarchaeota,1,1,1
archaea00911,Euryarchaeota,1,1,0
archaea00912,Euryarchaeota,1,0,1
archaea00943,Euryarchaeota,1,1,1
archaea00944,Euryarchaeota,1,1,1
archaea00966,Euryarchaeota,0,1,0
archaea00981,Euryarchaeota,2,2,1
archaea01023,Euryarchaeota,2,2,1
archaea01029,Euryarchaeota,1,1,1
archaea01057,Woesearchaeota,2,1,2
archaea01058,Euryarchaeota,1,0,0
archaea01059,Euryarchaeota,0,1,2
archaea01060,Woesearchaeota,0,0,0
bacteria00190,Actinobacteria,1,1,2
bacteria00193,Deltaproteobacteria,1,1,1
bacteria00203,Bacteroidetes,0,0,0
bacteria00229,Deltaproteobacteria,0,0,0
bacteria00506,Deltaproteobacteria,0,0,1
bacteria00725,Deltaproteobacteria,0,0,1
bacteria00749,Deltaproteobacteria,0,0,0
bacteria00897,Deltaproteobacteria,0,0,1
bacteria01071,Deltaproteobacteria,0,0,2
bacteria01141,Deltaproteobacteria,0,0,2
bacteria01181,Deltaproteobacteria,0,0,1
bacteria01199,Deltaproteobacteria,0,0,0
bacteria01616,Deltaproteobacteria,0,0,0
bacteria01626,Deltaproteobacteria,0,0,1
bacteria01635,Firmicutes,0,0,0
bacteria01699,Deltaproteobacteria,0,0,0
bacteria01708,Deltaproteobacteria,0,0,1
bacteria01723,Deltaproteobacteria,0,0,1
bacteria01866,Deltaproteobacteria,0,0,1
bacteria01900,Deltaproteobacteria,0,0,1
bacteria02048,Firmicutes,1,1,2
bacteria02069,Firmicutes,1,1,4
bacteria02134,Firmicutes,1,1,3
bacteria02135,Firmicutes,1,1,3
bacteria02180,Firmicutes,1,1,3
bacteria02248,Firmicutes,1,0,1
bacteria02472,Firmicutes,1,0,1
bacteria02474,Firmicutes,1,0,1
bacteria02631,Chloroflexi,1,1,0
bacteria03013,Firmicutes,1,0,1
bacteria03712,Deltaproteobacteria,0,0,2
bacteria04577,Deltaproteobacteria,0,0,1
bacteria05209,Deltaproteobacteria,0,0,3
bacteria05316,Deltaproteobacteria,0,0,0
bacteria05416,Deltaproteobacteria,0,0,1
bacteria05491,Deltaproteobacteria,0,0,0
bacteria06288,Bacteroidetes,0,0,0
bacteria06329,Bacteroidetes,0,0,0
bacteria06331,Bacteroidetes,0,0,0
bacteria06336,Bacteroidetes,0,0,0
bacteria06350,Bacteroidetes,0,0,0
bacteria06360,Bacteroidetes,0,0,0
bacteria06369,Bacteroidetes,0,0,0
bacteria06383,Deltaproteobacteria,0,0,0
bacteria06389,Deltaproteobacteria,0,0,0
bacteria06441,KSB1,0,0,0
bacteria06450,WOR1,0,0,0
bacteria06457,WOR1,0,0,0
bacteria06459,WOR1,0,0,0
bacteria06463,WOR1,0,0,0
bacteria06464,WOR1,0,0,0
bacteria06500,WOR1,0,0,0
bacteria06501,WOR1,0,0,0
bacteria06570,Aminicenantes,0,0,0
bacteria06661,Aminicenantes,0,0,0
bacteria06781,Firestonebacteria,0,0,0
bacteria06881,Firestonebacteria,0,0,0
bacteria07316,Raymondbacteria,1,1,1
bacteria07317,Raymondbacteria,1,1,1
bacteria07318,Raymondbacteria,1,1,1
bacteria07319,Raymondbacteria,1,1,2
bacteria07320,Raymondbacteria,1,1,0
bacteria07594,Chloroflexi,1,1,2
bacteria07622,Deltaproteobacteria,0,0,0
bacteria07623,Deltaproteobacteria,0,0,0
bacteria07624,Deltaproteobacteria,1,0,1
bacteria07662,Chloroflexi,1,1,2
bacteria07664,Chloroflexi,1,1,2
bacteria07704,Chloroflexi,0,0,1
bacteria07713,Deltaproteobacteria,0,0,0
bacteria07716,Deltaproteobacteria,0,0,0
bacteria07719,Deltaproteobacteria,0,0,0
bacteria07723,Raymondbacteria,1,1,1
bacteria07725,Deltaproteobacteria,0,0,0
bacteria07729,Deltaproteobacteria,0,0,0
