protein_id	beg	end	prokka_function
PDPDEDFA_00001	50	476	hypothetical protein
PDPDEDFA_00002	1648	2626	2-hydroxy-6-oxononadienedioate/2-hydroxy-6- oxononatrienedioate hydrolase
PDPDEDFA_00003	2995	4066	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
PDPDEDFA_00004	4333	4519	2-hydroxymuconate tautomerase
PDPDEDFA_00005	4535	5054	hypothetical protein
PDPDEDFA_00006	5388	5718	hypothetical protein
PDPDEDFA_00007	6136	6496	Peptide methionine sulfoxide reductase MsrB
PDPDEDFA_00008	6828	7422	Peptide methionine sulfoxide reductase MsrA
PDPDEDFA_00009	7531	8194	hypothetical protein
PDPDEDFA_00010	8333	9473	hypothetical protein
PDPDEDFA_00011	9780	10995	hypothetical protein
PDPDEDFA_00012	11231	12977	Oligopeptide-binding protein OppA
PDPDEDFA_00013	13352	13643	Oligopeptide transport ATP-binding protein OppF
PDPDEDFA_00014	3	405	hypothetical protein
PDPDEDFA_00015	497	728	hypothetical protein
PDPDEDFA_00016	768	1182	Ribonuclease VapC2
PDPDEDFA_00017	1430	1895	hypothetical protein
PDPDEDFA_00018	1900	2119	hypothetical protein
PDPDEDFA_00019	2254	2545	hypothetical protein
PDPDEDFA_00020	2641	2887	putative HTH-type transcriptional regulator YbaQ
PDPDEDFA_00021	2949	3156	hypothetical protein
PDPDEDFA_00022	3164	3290	hypothetical protein
PDPDEDFA_00023	3252	3819	hypothetical protein
PDPDEDFA_00024	3956	4997	DNA repair protein RecO
PDPDEDFA_00025	5022	5724	Deoxyribose-phosphate aldolase
PDPDEDFA_00026	5763	7059	GTPase Era
PDPDEDFA_00027	7048	7573	hypothetical protein
PDPDEDFA_00028	7675	7972	Endoribonuclease YbeY
PDPDEDFA_00029	160	1381	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
PDPDEDFA_00030	1347	2451	Putative transport protein YhhT
PDPDEDFA_00031	2702	3104	hypothetical protein
PDPDEDFA_00032	2723	3161	hypothetical protein
PDPDEDFA_00034	186	1170	hypothetical protein
PDPDEDFA_00035	1190	2063	Prephenate dehydratase
PDPDEDFA_00036	2198	3464	Serine--tRNA ligase
PDPDEDFA_00038	3701	3905	hypothetical protein
PDPDEDFA_00040	4097	4916	SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
PDPDEDFA_00041	5119	5908	Glucitol operon repressor
PDPDEDFA_00042	5950	7108	hypothetical protein
PDPDEDFA_00043	7526	9050	Ribose import ATP-binding protein RbsA
PDPDEDFA_00044	9069	10035	Ribose import permease protein RbsC
PDPDEDFA_00045	10037	11018	Ribose import permease protein RbsC
PDPDEDFA_00046	11128	12136	Ribose import binding protein RbsB
PDPDEDFA_00047	12865	13132	hypothetical protein
PDPDEDFA_00049	13717	14431	hypothetical protein
PDPDEDFA_00050	149	785	hypothetical protein
PDPDEDFA_00051	905	2072	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase
PDPDEDFA_00052	2043	2313	hypothetical protein
PDPDEDFA_00053	2469	2919	Ribose-5-phosphate isomerase B
PDPDEDFA_00054	3165	3471	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
PDPDEDFA_00055	3564	4347	Type III pantothenate kinase
PDPDEDFA_00056	4330	5719	tRNA-dihydrouridine synthase B
PDPDEDFA_00058	6426	6777	hypothetical protein
PDPDEDFA_00059	6779	7457	Protein DedA
PDPDEDFA_00060	7920	8856	hypothetical protein
PDPDEDFA_00061	9296	10727	hypothetical protein
PDPDEDFA_00062	11304	12171	hypothetical protein
PDPDEDFA_00063	12280	12856	hypothetical protein
PDPDEDFA_00064	12908	14171	O-mycaminosyltylonolide 6-deoxyallosyltransferase
PDPDEDFA_00065	14265	15756	Multidrug resistance protein 3
PDPDEDFA_00066	16121	16565	hypothetical protein
PDPDEDFA_00067	16902	17913	putative dual-specificity RNA methyltransferase RlmN
PDPDEDFA_00068	4	352	hypothetical protein
PDPDEDFA_00069	465	1452	Ribose import permease protein RbsC
PDPDEDFA_00070	1521	2718	hypothetical protein
PDPDEDFA_00071	2777	3419	HTH-type transcriptional repressor RspR
PDPDEDFA_00072	174	906	IS21 family transposase ISBmu1
PDPDEDFA_00073	922	2461	hypothetical protein
PDPDEDFA_00074	286	712	hypothetical protein
PDPDEDFA_00075	1010	1352	Endoribonuclease MazF
PDPDEDFA_00076	1344	1620	hypothetical protein
PDPDEDFA_00077	2036	2294	hypothetical protein
PDPDEDFA_00078	2277	2688	hypothetical protein
PDPDEDFA_00079	2842	3052	hypothetical protein
PDPDEDFA_00080	3141	3675	Flavoredoxin
PDPDEDFA_00081	3801	4791	L(+)-tartrate dehydratase subunit alpha
PDPDEDFA_00082	67	589	hypothetical protein
PDPDEDFA_00083	748	1837	hypothetical protein
PDPDEDFA_00084	180	900	putative oxidoreductase
PDPDEDFA_00085	1060	2173	Aminopeptidase 2
