user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
archaea00492	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__GCA_002499025.1	GCA_002499025.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	99.77	0.84	GCA_002499025.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	99.77	0.84	ANI/Placement	topological placement and ANI have congruent species assignments	
archaea00572	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__UBA9949;s__GCA_002499905.1	GCA_002499905.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__UBA9949;s__	100.0	1.0	GCA_002499905.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__UBA9949;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
archaea00145	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__GCF_000327485.1	GCF_000327485.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	100.0	1.0	GCF_000327485.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
archaea00312	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__GCA_001512965.1	GCA_001512965.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	99.81	0.93	GCA_001512965.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	99.81	0.93	ANI/Placement	topological placement and ANI have congruent species assignments	
archaea00050	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanosphaerula;s__GCF_000021965.1	GCF_000021965.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanosphaerula;s__	100.0	1.0	GCF_000021965.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanosphaerula;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
archaea00491	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__GCA_002498285.1	GCA_002498285.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	100.0	0.97	GCA_002498285.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	100.0	0.97	ANI/Placement	topological placement and ANI have congruent species assignments	
archaea00330	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__GCA_002495055.1	GCA_002495055.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	100.0	1.0	GCA_002495055.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
archaea00704	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__GCA_002504525.1	GCA_002504525.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	100.0	0.99	GCA_002504525.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
archaea00449	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__GCA_002495055.1	GCA_002495055.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	99.79	0.91	GCA_002495055.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	99.79	0.91	ANI/Placement	topological placement and ANI have congruent species assignments	
archaea00685	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__UBA467;s__GCA_002503825.1	GCA_002503825.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__UBA467;s__	100.0	1.0	GCA_002503825.1	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__UBA467;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
