2744054410	LNAEIIIA_01093	hypothetical protein 
2757320497	HIIELDKG_03883	hypothetical protein 
2757320500	BEOPBIGF_01977	hypothetical protein 
2757320501	PJJMJMJF_00030	hypothetical protein 
2757320502	HLDOOGOK_00364	hypothetical protein 
2757320507	IEEJNIJO_01078	hypothetical protein 
bacteria00190	EEIMFIFM_00797	hypothetical protein 
bacteria00229	FECEEEKA_03145	Transcriptional regulator SlyA
bacteria23259	JKMHOLBA_03031	hypothetical protein 
bacteria23266	GCDJNNGD_01738	hypothetical protein 
bacteria23267	OGJOJHJF_00536	hypothetical protein 
bacteria23314	BPLGDHLP_00733	hypothetical protein 
bacteria23315	GDCGGGAB_00644	hypothetical protein 
bacteria30008	CDDDOPNL_01966	hypothetical protein 
bacteria30010	GFBCFADM_01500	hypothetical protein 
bacteria30011	JPKGDFDE_02499	hypothetical protein 
GCA_000012925.1	NOEKPPCC_00369	Transcriptional regulator SlyA
GCA_000016745.1	DHKEEKAF_01440	hypothetical protein 
GCA_000020725.1	IPBLDDEA_02397	Transcriptional regulator SlyA
GCA_000022265.1	CFCMBAHF_02507	Transcriptional regulator SlyA
GCA_000023645.1	JBGFFMOA_01860	Transcriptional regulator SlyA
GCA_000174415.1	MAEEJLFG_00005	hypothetical protein 
GCA_000189295.2	HBPFIMBA_02540	hypothetical protein 
GCA_000210155.1	CFPPKEBE_03040	Transcriptional regulator SlyA
GCA_000212675.2	JKKFMICO_02319	Transcriptional regulator SlyA
GCA_000224515.2	CODDIPFD_00344	hypothetical protein 
GCA_000243135.3	BDEBGKKP_03073	hypothetical protein 
GCA_000243155.3	LLKGBECD_03756	Transcriptional activatory protein
GCA_000243475.2	OKMMACCE_02452	Transcriptional regulator SlyA
GCA_000255115.3	KJAPFONA_01002	hypothetical protein 
GCA_000300195.1	DAFOPDJE_00631	hypothetical protein 
GCA_000344315.1	MGPJOBDB_02126	Transcriptional regulator SlyA
GCA_000375485.1	MHGMGIOA_02573	HTH
GCA_000384015.1	PMIJBOOF_03614	Transcriptional activatory protein
GCA_000422185.1	JOOJPNDK_00878	hypothetical protein 
GCA_000422545.1	ALNNOJKH_00728	Transcriptional regulator SlyA
GCA_000426865.1	FOAAPIFH_00592	Transcriptional regulator SlyA
GCA_000428825.1	MADBMPCB_01215	hypothetical protein 
GCA_000429945.1	MMKJJMFE_00355	Transcriptional regulator SlyA
GCA_000686525.1	ICDLEHOI_02713	Transcriptional regulator SlyA
GCA_000711225.1	FBJPCFOG_02517	hypothetical protein 
GCA_000739515.1	DJIPHHMF_04463	hypothetical protein 
GCA_000747085.1	KCGMPCND_00449	hypothetical protein 
GCA_000802135.1	MIBBBBEE_00067	hypothetical protein 
GCA_000813145.1	GFMELPGI_03680	hypothetical protein 
GCA_000816575.1	JMIIDJBC_02605	Transcriptional regulator SlyA
GCA_000817955.1	LIPCHPPJ_00434	Transcriptional regulator SlyA
GCA_000960765.1	CPIFMIFB_00710	hypothetical protein 
GCA_000961725.1	HMCODJKB_03882	hypothetical protein 
GCA_001029285.1	MIOFNAOG_03776	hypothetical protein 
GCA_001278055.1	DPNFNEMJ_02506	hypothetical protein 
GCA_001303955.1	MFPDAINE_02053	hypothetical protein 
GCA_001304045.1	GBNLMFBG_00627	hypothetical protein 
GCA_001304105.1	FKDKDELN_00607	HTH
GCA_001412345.1	KKNNGDGN_01115	Organic hydroperoxide resistance
GCA_001513155.1	HKKLPBLM_02417	hypothetical protein 
GCA_001563225.1	ILMMGKGH_00363	hypothetical protein 
GCA_001604385.1	MPLJIAAJ_00412	hypothetical protein 
GCA_001604405.1	MOMAFLMH_00714	hypothetical protein 
GCA_001611275.1	BIAMPPBD_01056	hypothetical protein 
GCA_001628815.1	JCECMEAH_03232	Transcriptional regulator SlyA
GCA_001717745.1	KKIIDCPJ_01828	hypothetical protein 
