genome,gene,start,end,strand,direction
bacteria00190,acr3,597,1712,forward,+
bacteria00190,reg,1714,2100,forward,+
bacteria00190,hgcA,2121,3386,forward,+
bacteria00190,hgcB,3392,3667,forward,+
bacteria00190,hyp,3852,4064,forward,+
bacteria00190,hyp,4095,4274,forward,+
bacteria00190,other,5208,4318,reverse,-
bacteria00190,other,5598,5221,reverse,-
bacteria30006,hyp,96472,96786,forward,+
bacteria30006,hyp,96841,97080,forward,+
bacteria30006,hyp,97090,97485,forward,+
bacteria30006,other,97485,98183,forward,+
bacteria30006,arsC,98196,98618,forward,+
bacteria30006,hgcA,98615,99613,forward,+
bacteria30006,hgcB,99615,99917,forward,+
bacteria30006,acr3,99940,100974,forward,+
bacteria30006,other,103616,101019,reverse,-
bacteria30006,hyp,103806,104228,forward,+
bacteria30006,other,104390,105271,forward,+
bacteria30021,hyp,38830,38426,reverse,-
bacteria30021,hyp,39432,38881,reverse,-
bacteria30021,acr3,40482,39454,reverse,-
bacteria30021,arsC,41207,40482,reverse,-
bacteria30021,hgcB,41497,41207,reverse,-
bacteria30021,hgcA,42459,41500,reverse,-
bacteria30021,other,44322,42517,reverse,-
bacteria30021,hyp,44890,44381,reverse,-
bacteria30021,hyp,45484,44927,reverse,-
bacteria30021,hyp,45780,45610,reverse,-
bacteria30021,other,46552,45854,reverse,-
bacteria30028,hyp,204477,205994,forward,+
bacteria30028,hyp,206115,207311,forward,+
bacteria30028,arsC,207737,207240,reverse,-
bacteria30028,acr3,208926,207739,reverse,-
bacteria30028,hgcB,209268,208975,reverse,-
bacteria30028,hgcA,210340,209279,reverse,-
bacteria30028,hyp,210735,210343,reverse,-
bacteria30028,other,210924,211910,forward,+
bacteria30028,hyp,211929,213311,forward,+
bacteria30028,other,213311,214768,forward,+
bacteria30028,hyp,214777,216192,forward,+
GCA_001618385.1,other,63162,62458,reverse,-
GCA_001618385.1,other,64046,63543,reverse,-
GCA_001618385.1,acr3,65089,64058,reverse,-
GCA_001618385.1,hyp,65532,65095,reverse,-
GCA_001618385.1,hgcB,65846,65547,reverse,-
GCA_001618385.1,hgcA,66879,65848,reverse,-
GCA_001618385.1,arsC,67298,66876,reverse,-
GCA_001618385.1,hyp,68351,67332,reverse,-
GCA_001618385.1,hyp,69071,68367,reverse,-
GCA_001618385.1,hyp,69506,69078,reverse,-
GCA_001618385.1,hyp,69751,69503,reverse,-
GCA_001794965.1,other,171991,172674,forward,+
GCA_001794965.1,other,172671,173801,forward,+
GCA_001794965.1,other,175389,174214,reverse,-
GCA_001794965.1,other,175591,175905,forward,+
GCA_001794965.1,arsM,175985,176719,forward,+
GCA_001794965.1,hgcA,176747,177751,forward,+
GCA_001794965.1,hgcB,177764,178036,forward,+
GCA_001794965.1,other,178247,178831,forward,+
GCA_001794965.1,other,178856,179857,forward,+
GCA_001794965.1,other,181034,180054,reverse,-
GCA_001794965.1,other,181359,182414,forward,+
GCA_001800235.1,other,13697,14800,forward,+
GCA_001800235.1,hyp,14851,15285,forward,+
GCA_001800235.1,hyp,15830,16183,forward,+
GCA_001800235.1,other,16176,16619,forward,+
GCA_001800235.1,acr3,16622,17671,forward,+
GCA_001800235.1,hgcA,17661,18773,forward,+
GCA_001800235.1,hgcB,18774,19040,forward,+
GCA_001800235.1,other,19327,20439,reverse,-
GCA_001800235.1,other,20551,21360,forward,+
GCA_001800235.1,hyp,21528,21773,forward,+
GCA_001800235.1,hyp,21836,22081,forward,+
GCA_002839185.1,other,579,1235,forward,+
GCA_002839185.1,hyp,1228,2382,forward,+
GCA_002839185.1,hyp,3123,2779,reverse,-
GCA_002839185.1,hgcB,3560,3261,reverse,-
GCA_002839185.1,hgcA,4568,3582,reverse,-
GCA_002839185.1,arsC,4764,5201,forward,+
GCA_002839185.1,hyp,5577,5239,reverse,-
GCA_002839185.1,hyp,6235,5690,reverse,-
GCA_002839185.1,hyp,6716,6237,reverse,-
GCA_002839185.1,other,7394,6852,reverse,-
GCA_002839605.1,hyp,25962,26639,forward,+
GCA_002839605.1,other,26594,27424,forward,+
GCA_002839605.1,other,28695,27454,reverse,-
GCA_002839605.1,arsC,29153,28740,reverse,-
GCA_002839605.1,hgcB,29488,29150,reverse,-
GCA_002839605.1,hgcA,30558,29488,reverse,-
GCA_002839605.1,hyp,30863,30576,reverse,-
GCA_002839605.1,hyp,31032,31541,forward,+
GCA_002839605.1,other,32337,31549,reverse,-
GCA_002839605.1,other,33509,32334,reverse,-
GCA_002839605.1,other,34083,33502,reverse,-
GCA_002839855.1,arsR,255457,255086,reverse,-
GCA_002839855.1,hyp,255882,255457,reverse,-
GCA_002839855.1,hyp,257057,255897,reverse,-
GCA_002839855.1,hyp,257520,257197,reverse,-
GCA_002839855.1,hgcB,257918,257601,reverse,-
GCA_002839855.1,hgcA,259054,257915,reverse,-
GCA_002839855.1,acr3,260088,259051,reverse,-
GCA_002839855.1,other,260432,260088,reverse,-
GCA_002839855.1,hyp,261139,260573,reverse,-
GCA_002839855.1,hyp,261522,261259,reverse,-
GCA_002839855.1,hyp,261788,261522,reverse,-
GCA_003132645.1,acr3,7,663,forward,+
GCA_003132645.1,hyp,665,1051,forward,+
GCA_003132645.1,hgcA,1072,2343,forward,+
GCA_003132645.1,hgcB,2349,2732,forward,+
GCA_003132645.1,other,2825,3274,forward,+
GCA_003132645.1,other,3363,3956,forward,+
GCA_003132645.1,other,3953,5209,forward,+
GCA_003132645.1,hyp,6029,5226,reverse,-
