bacteria00190,2582580680,2.53,75.14367816091955,0.28735632183908044,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__;s__,bacteria00190.fna
bacteria00229,2593339183, 3.8,93.36419753086419,0,Proteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,bacteria00229.fna
bacteria23259,K_DeepCast_100m_m2_305,3.63,92.72727272727273,4.02020202020202,Chloroflexi,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__,bacteria23259.fna
bacteria23266,K_DeepCast_150m_m2_056,2.13,90.04237288135593,2.8954802259887003,Firmicutes,d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__DTU022;f__DTU022;g__;s__,bacteria23266.fna
bacteria23267,K_DeepCast_150m_m2_113,3.56,85.29339477726575,7.800819252432156,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__,bacteria23267.fna
bacteria23314,M_DeepCast_400m_m2_133,1.45,50.71225071225071,0.9081196581196581,Aminicedantes,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__;g__;s__,bacteria23314.fna
bacteria23315,M_DeepCast_400m_m2_244,3.45,81.88034188034187,5.235042735042735,Aminicendantes,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__;s__,bacteria23315.fna
bacteria00725,GCA_000012925.1,4.01,99.4162826420891,0,Geobacter metallireducens GS-15 ,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__,bacteria00725.fna
bacteria00897,GCA_000016745.1,5.14,97.6600102406554,0,Geobacter uraniireducens Rf4 ,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_B;s__,bacteria00897.fna
bacteria01071,GCA_000020725.1,4.62,99.78494623655915,0,Geobacter bemidjiensis Bem ,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__,bacteria01071.fna
bacteria01141,GCA_000022265.1, 4.3,99.35483870967742,0,Geobacter daltonii FRC-32 ,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_B;s__,bacteria01141.fna
bacteria01199,GCA_000023645.1,4.75,100,0,Geobacter sp. M21 ,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__,bacteria01199.fna
bacteria01708,GCA_000189295.2,3.86,100,0.591715976331361,Desulfovibrio desulfuricans ND132 ,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__,bacteria01708.fna
bacteria01866,GCA_000210155.1,3.71,99.35483870967742,0,Geobacter sulfurreducens KN400 ,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__,bacteria01866.fna
bacteria01900,GCA_000212675.2, 4.2,100,0,Desulfovibrio africanus str. Walvis Bay ,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__,bacteria01900.fna
bacteria02134,GCA_000243135.3,3.62,97.95918367346938,1.3605442176870746,Desulfitobacterium dichloroeliminans LMG P-21439 ,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__,bacteria02134.fna
bacteria02135,GCA_000243155.3,4.32,98.72448979591837,3.9753401360544216,Desulfitobacterium dehalogenans ATCC 51507 ,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__,bacteria02135.fna
bacteria02180,GCA_000255115.3,4.99,99.48979591836735,2.4149659863945576,Desulfosporosinus acidiphilus SJ4 ,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__,bacteria02180.fna
