genome1	genome2
bacteria14584	bacteria13733
bacteria06389	bacteria06383
bacteria07767	bacteria05316
bacteria07767	bacteria07623
bacteria07753	bacteria08141
bacteria07753	bacteria07729
bacteria07753	bacteria07777
bacteria07753	bacteria07725
bacteria07713	bacteria07754
bacteria08090	bacteria08033
bacteria08090	bacteria08100
bacteria08090	bacteria08032
bacteria08015	bacteria08017
bacteria20803	bacteria21013
bacteria20803	bacteria20880
bacteria08677	bacteria08743
bacteria08677	bacteria08675
bacteria08677	bacteria08672
bacteria08677	bacteria08742
bacteria08763	bacteria08719
bacteria08680	bacteria08689
bacteria08680	bacteria08678
bacteria08680	bacteria08679
bacteria20671	bacteria20695
bacteria20898	bacteria20749
bacteria20898	bacteria20231
bacteria20888	bacteria20700
bacteria20888	bacteria20869
bacteria20888	bacteria20841
archaea00477	archaea00864
archaea00477	archaea00669
archaea00477	archaea00865
archaea00477	archaea00595
archaea00477	archaea00704
archaea00477	archaea00738
archaea00477	archaea00394
archaea00477	archaea00357
archaea00477	archaea00676
bacteria07664	bacteria07594
bacteria07664	bacteria07662
bacteria14247	bacteria15636
bacteria14247	bacteria15208
archaea00330	archaea00449
archaea00643	archaea00912
archaea00643	archaea00783
archaea00643	archaea00568
archaea00643	archaea00420
archaea00643	archaea00518
archaea00366	archaea00784
archaea00366	archaea00492
archaea00366	archaea00606
archaea00366	archaea00529
archaea00366	archaea00816
bacteria07867	bacteria07868
bacteria07867	bacteria07869
bacteria07867	bacteria07861
bacteria07867	bacteria07857
bacteria08741	bacteria08669
bacteria20693	bacteria20733
bacteria07828	bacteria07831
bacteria00506	bacteria01866
bacteria15914	bacteria14303
bacteria08785	bacteria09687
bacteria17632	bacteria11313
bacteria17632	bacteria11124
bacteria15898	bacteria12866
bacteria07317	bacteria07318
bacteria07317	bacteria07316
bacteria07317	bacteria07319
bacteria07317	bacteria07723
bacteria17162	bacteria15722
bacteria08000	bacteria07997
bacteria20622	bacteria20745
bacteria21020	bacteria20845
bacteria20497	bacteria20486
bacteria20667	bacteria20828
bacteria20667	bacteria20744
bacteria15803	bacteria14256
bacteria20707	bacteria20458
bacteria20445	bacteria20475
bacteria20444	bacteria20436
bacteria20442	bacteria20453
bacteria06336	bacteria06350
bacteria06336	bacteria06369
bacteria20678	bacteria20901
bacteria20830	bacteria20689
bacteria21452	bacteria21402
bacteria08704	bacteria08753
bacteria08704	bacteria07743
bacteria17335	bacteria16029
bacteria15924	bacteria14315
bacteria11556	bacteria17870
bacteria20292	bacteria21230
bacteria20292	bacteria21351
bacteria20292	bacteria21335
bacteria20292	bacteria21102
bacteria20292	bacteria20309
bacteria20292	bacteria20505
bacteria20292	bacteria20316
bacteria20292	bacteria20400
bacteria20292	bacteria21162
bacteria20292	bacteria21197
bacteria20292	bacteria20361
bacteria20292	bacteria20330
bacteria12896	bacteria14306
bacteria12131	bacteria15970
bacteria12131	bacteria12088
bacteria20494	bacteria21447
bacteria15219	bacteria12079
bacteria20672	bacteria20692
bacteria20871	bacteria20699
bacteria20871	bacteria20889
bacteria20871	bacteria20742
bacteria06501	bacteria06459
bacteria06501	bacteria06464
bacteria06501	bacteria06450
bacteria06457	bacteria06500
bacteria15087	bacteria15477
bacteria15087	bacteria15553
bacteria15087	bacteria15495
bacteria06781	bacteria06881
bacteria22395	bacteria22396
bacteria22395	bacteria01635
bacteria22395	bacteria19726
bacteria12876	bacteria14346
bacteria12876	bacteria17013
bacteria12876	bacteria17529
bacteria17323	bacteria12556
bacteria14269	bacteria16132
bacteria15146	bacteria15534
bacteria15490	bacteria15050
bacteria15490	bacteria15458
bacteria15490	bacteria16275
bacteria15490	bacteria15632
bacteria15490	bacteria16150
bacteria15490	bacteria16256
bacteria15490	bacteria15609
bacteria15490	bacteria15035
bacteria15490	bacteria15094
bacteria15105	bacteria15155
bacteria15291	bacteria15664
bacteria15291	bacteria15672
bacteria15873	bacteria14347
