user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
GCA_002753335.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__MYbin3;s__MYbin3 sp002753335	GCA_002753335.1	95.0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__MYbin3;s__MYbin3 sp002753335	100.0	1.0	GCA_002753335.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__MYbin3;s__MYbin3 sp002753335	100.0	1.0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	89.37	11	N/A	N/A
GCA_900114115.1	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium apsheronum	GCF_900114115.1	95.0	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium apsheronum	100.0	1.0	GCF_900114115.1	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium apsheronum	100.0	1.0	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_900114595.1, s__Desulfomicrobium norvegicum, 95.0, 93.92, 0.81; GCA_002841885.1, s__Desulfomicrobium sp002841885, 95.0, 88.88, 0.77; GCF_000023225.1, s__Desulfomicrobium baculatum, 95.0, 87.22, 0.75; GCA_002412965.1, s__Desulfomicrobium sp002412965, 95.0, 83.31, 0.6; GCA_003542385.1, s__Desulfomicrobium sp003542385, 95.0, 82.42, 0.69; GCF_000428825.1, s__Desulfomicrobium escambiense, 95.0, 82.25, 0.65; GCF_001553625.1, s__Desulfomicrobium orale, 95.0, 78.65, 0.36	96.71	11	N/A	N/A
GCA_002839375.1	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__Spirochaetae-1;s__Spirochaetae-1 sp002839375	GCA_002839375.1	95.0	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__Spirochaetae-1;s__Spirochaetae-1 sp002839375	100.0	1.0	GCA_002839375.1	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__Spirochaetae-1;s__Spirochaetae-1 sp002839375	100.0	1.0	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	94.07	11	N/A	N/A
GCA_003228585.1	d__Bacteria;p__BMS3Abin14;c__BMS3Abin14;o__BMS3Abin14;f__BMS3Abin14;g__SZUA-204;s__SZUA-204 sp003228585	GCA_003228585.1	95.0	d__Bacteria;p__BMS3Abin14;c__BMS3Abin14;o__BMS3Abin14;f__BMS3Abin14;g__SZUA-204;s__SZUA-204 sp003228585	100.0	0.98	GCA_003228585.1	d__Bacteria;p__BMS3Abin14;c__BMS3Abin14;o__BMS3Abin14;f__BMS3Abin14;g__SZUA-204;s__SZUA-204 sp003228585	100.0	0.98	d__Bacteria;p__BMS3Abin14;c__BMS3Abin14;o__BMS3Abin14;f__BMS3Abin14;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	92.58	11	N/A	N/A
GCA_002409825.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105	GCA_002398105.1	95.0	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105	99.7	0.9	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105	99.7	0.9	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002424365.1, s__UBA4844 sp002424365, 95.0, 77.91, 0.26	90.2	11	N/A	N/A
GCA_000231405.3	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium_A;s__Desulfitobacterium_A metallireducens	GCF_000231405.2	95.0	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium_A;s__Desulfitobacterium_A metallireducens	100.0	1.0	GCF_000231405.2	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium_A;s__Desulfitobacterium_A metallireducens	100.0	1.0	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	98.65	11	N/A	N/A
GCA_001050275.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Leptolinea;s__Leptolinea tardivitalis	GCF_001050275.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Leptolinea;s__Leptolinea tardivitalis	100.0	1.0	GCF_001050275.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Leptolinea;s__Leptolinea tardivitalis	100.0	1.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	94.88	11	N/A	N/A
GCA_003133285.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__PALSA-660;g__PALSA-660;s__PALSA-660 sp003133285	GCA_003133285.1	95.0	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__PALSA-660;g__PALSA-660;s__PALSA-660 sp003133285	100.0	0.98	GCA_003133285.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__PALSA-660;g__PALSA-660;s__PALSA-660 sp003133285	100.0	0.98	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	79.56	11	N/A	N/A
GCA_000013405.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus aciditrophicus	GCF_000013405.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus aciditrophicus	100.0	1.0	GCF_000013405.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus aciditrophicus	100.0	1.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_900109885.1, s__Syntrophus gentianae, 95.0, 79.46, 0.41	97.38	11	N/A	N/A
GCA_001516055.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Gracilibacter;s__Gracilibacter sp001516055	GCA_001516055.1	95.0	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Gracilibacter;s__Gracilibacter sp001516055	100.0	0.99	GCA_001516055.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Gracilibacter;s__Gracilibacter sp001516055	100.0	0.99	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	91.88	11	N/A	N/A
GCA_007244375.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp001412345	GCA_001412345.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp001412345	99.99	0.99	GCA_001412345.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp001412345	99.99	0.99	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001683985.1, s__Smithella sp001683985, 95.0, 91.65, 0.77; GCA_000747625.2, s__Smithella sp000747625, 95.0, 82.88, 0.57; GCA_000753945.1, s__Smithella sp000753945, 95.0, 82.7, 0.62; GCA_002840505.1, s__Smithella sp002840505, 95.0, 82.24, 0.68; GCA_002327415.1, s__Smithella sp002327415, 95.0, 81.05, 0.63; GCA_003139775.1, s__Smithella sp003139775, 95.0, 78.7, 0.34; GCA_003141615.1, s__Smithella sp003141615, 95.0, 78.53, 0.33; GCA_002840555.1, s__Smithella sp002840555, 95.0, 78.14, 0.34; GCA_002441205.1, s__Smithella sp002441205, 95.0, 78.07, 0.27	98.51	11	N/A	N/A
GCA_003161895.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003157015	GCA_003157015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003157015	99.74	0.96	GCA_003157015.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003157015	99.74	0.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003141715.1, s__LD21 sp003141715, 95.0, 81.14, 0.51; GCA_003141525.1, s__LD21 sp003141525, 95.0, 80.77, 0.53; GCA_003141415.1, s__LD21 sp003141415, 95.0, 80.39, 0.52; GCA_003162595.1, s__LD21 sp003162595, 95.0, 80.33, 0.51; GCA_003141495.1, s__LD21 sp003141495, 95.0, 80.1, 0.48; GCA_003141895.1, s__LD21 sp003141895, 95.0, 78.69, 0.3; GCA_002319885.1, s__LD21 sp002319885, 95.0, 78.26, 0.33; GCA_003157075.1, s__LD21 sp003157075, 95.0, 77.63, 0.27; GCA_003157055.1, s__LD21 sp003157055, 95.0, 76.54, 0.1; GCA_003142255.1, s__LD21 sp003142255, 95.0, 76.44, 0.09; GCA_001768195.1, s__LD21 sp001768195, 95.0, 76.36, 0.1; GCA_003152835.1, s__LD21 sp003152835, 95.0, 76.3, 0.1; GCA_003520925.1, s__LD21 sp003520925, 95.0, 76.25, 0.07; GCA_002328625.1, s__LD21 sp002328625, 95.0, 76.15, 0.06; GCA_003155705.1, s__LD21 sp003155705, 95.0, 75.87, 0.12; GCA_002424525.1, s__LD21 sp002424525, 95.0, 75.64, 0.06; GCA_003501665.1, s__LD21 sp003501665, 95.0, 75.53, 0.04; GCA_002319915.1, s__LD21 sp002319915, 95.0, 75.25, 0.04	68.49	11	N/A	N/A
