archaea00943,GCA_003135935.1,2.08,94.23076923076923,0.8064516129032258,Methanomassiliicoccaceae archaeon,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__;g__;s__,archaea00943.fna
bacteria20068,GCA_003132645.1,3.24,85.63218390804599,2.1551724137931036,Actinobacteria bacterium,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__;s__,bacteria20068.fna
bacteria20100,GCA_003133285.1,1.87,85.85317460317461,1.1746031746031744,Coriobacteriia bacterium,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__;g__;s__,bacteria20100.fna
bacteria20231,GCA_003136095.1,6.03,85.14592933947773,1.3133640552995391,Myxococcales bacterium,d__Bacteria;p__Myxococcota;c__Polyangia;o__;f__;g__;s__,bacteria20231.fna
bacteria20275,GCA_003137035.1,5.07,87.81067251461988,2.6315789473684212,Solibacterales bacterium,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__,bacteria20275.fna
bacteria20443,GCA_003141555.1,3.79,93.84615384615384,3.4188034188034186,Candidatus Aminicenantes bacterium,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__;s__,bacteria20443.fna
bacteria20477,GCA_003142295.1,3.28,92.41935483870968,4.301075268817204,Syntrophaceae bacterium,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__,bacteria20477.fna
bacteria20480,GCA_003142355.1,6.56,85.58845029239765,3.9473684210526314,Solibacterales bacterium,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__,bacteria20480.fna
bacteria20489,GCA_003142535.1,2.93,93.54838709677419,1.2903225806451613,Syntrophaceae bacterium,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__;s__,bacteria20489.fna
bacteria20494,GCA_003142635.1,3.47,92.74193548387096,2.17357910906298,Syntrophaceae bacterium,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__,bacteria20494.fna
bacteria20503,GCA_003142835.1,2.49,86.03430619559653,1.6129032258064515,Syntrophaceae bacterium,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__;s__,bacteria20503.fna
bacteria20569,GCA_003151775.1,2.95,87.1326164874552,0.6451612903225806,Geobacter sp.,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__;s__,bacteria20569.fna
bacteria20631,GCA_003153075.1,2.77,71.31613161316132,0.9900990099009901,Dehalococcoidia bacterium,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__;g__;s__,bacteria20631.fna
bacteria20664,GCA_003153725.1,3.74,75.41666666666667,3.4188034188034186,Candidatus Aminicenantes bacterium,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__;s__,bacteria20664.fna
bacteria20666,GCA_003153775.1,3.13,98.06451612903226,1.2903225806451613,Syntrophaceae bacterium,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__,bacteria20666.fna
bacteria20672,GCA_003153955.1,2.09,80.88508850885088,0.9900990099009901,Dehalococcoidia bacterium,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__;g__;s__,bacteria20672.fna
bacteria20675,GCA_003154025.1,5.73,88.50486431131594,5.161290322580645,Syntrophaceae bacterium,d__Bacteria;p__Desulfobacterota;c__BSN033;o__;f__;g__;s__,bacteria20675.fna
