bacteria00190,EEIMFIFM_01320,EEIMFIFM_01321
GCA_003132645.1,EAGCLGCC_00365,EAGCLGCC_00366
GCA_001618385.1,DCIDKKEI_01358,DCIDKKEI_01357
bacteria30006,MIGOLCED_00864,MIGOLCED_00865
GCA_002839855.1,LBJAPOJN_01863,LBJAPOJN_01862
GCA_001794965.1,DANIKHCL_03007,DANIKHCL_03008
GCA_001800235.1,MPBCOEAA_01894,MPBCOEAA_01895
GCA_002839605.1,ICCNIBNN_00027,ICCNIBNN_00026
bacteria30021,JLEEPOFI_00536,JLEEPOFI_00535
bacteria30028,LNFDEICF_01630,LNFDEICF_01629
GCA_002839185.1,MKDLDMNL_00876,MKDLDMNL_00875
