genome_name,name,Completeness,Contamination,ncbi_lineage,gtdb_taxonomy,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_002753335.1,Nitrospirae bacterium MYbin3,96.49,0.91,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__MYbin3;s__MYbin3 sp002753335,Nitrospirae,Nitrospirae,MYbin3,SAMN07572854,PRJNA400260,Sediment metagenome,NA,Sediment,GCA_002753335.1,Scaffold,2.92937,44.4,,PEAD01,66,0,2017-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/753/335/GCA_002753335.1_ASM275333v1,
GCA_900114115.1,Desulfomicrobium apsheronum,99.38,0.6,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium apsheronum,Deltaproteobacteria,Deltaproteobacteria,DSM 5918,SAMN04488082,PRJEB17399,JGI Isolate sequencing,NA,Isolate,GCA_900114115.1,Scaffold,4.25408,57.8,,FORX01,45,3633,2016-10-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/115/GCA_900114115.1_IMG-taxon_2622736590_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/115/GCF_900114115.1_IMG-taxon_2622736590_annotated_assembly
GCA_002839375.1,Spirochaetae bacterium HGW-Spirochaetae-1,95.44,4.49,Bacteria;Spirochaetes;unclassified Spirochaetes,d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__Spirochaetae-1;s__Spirochaetae-1 sp002839375,Spirochaetes,Spirochaetes,HGW-Spirochaetae-1,SAMN06767749,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002839375.1,Scaffold,5.20142,47.5,,PGXY01,14,4622,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/839/375/GCA_002839375.1_ASM283937v1,
GCA_003228585.1,Proteobacteria bacterium,91.88,1.12,Bacteria;Proteobacteria;unclassified Proteobacteria,d__Bacteria;p__BMS3Abin14;c__BMS3Abin14;o__BMS3Abin14;f__BMS3Abin14;g__SZUA-204;s__SZUA-204 sp003228585,Deltaproteobacteria,Deltaproteobacteria,SZUA-204,SAMN09240188,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003228585.1,Contig,2.08663,54,,QIEJ01,276,0,2018-06-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/228/585/GCA_003228585.1_ASM322858v1,
GCA_002409825.1,Syntrophomonas sp. UBA5373,91.41,1.49,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105,Firmicutes,Firmicutes,UBA5373,SAMN06451578,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002409825.1,Scaffold,3.00069,46.9,,DHPD01,131,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/409/825/GCA_002409825.1_ASM240982v1,
GCA_000231405.3,Desulfitobacterium metallireducens DSM 15288,99.36,0.98,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium_A;s__Desulfitobacterium_A metallireducens,Firmicutes,Firmicutes,853-15A,SAMN02261393,PRJNA61369,JGI Isolate sequencing,NA,Isolate,GCA_000231405.3,Complete,3.17607,41.9,chromosome:NZ_CP007032.1/CP007032.1,,1,2941,2014-01-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/405/GCA_000231405.3_ASM23140v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/405/GCF_000231405.2_ASM23140v3
GCA_001050275.1,Leptolinea tardivitalis,99.09,7.45,Bacteria;Terrabacteria group;Chloroflexi,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Leptolinea;s__Leptolinea tardivitalis,Chloroflexi,Chloroflexi,YMTK-2,SAMD00034887,PRJDB4021,Isolate sequencing,Matsuura et al. 2015,Engineered,GCA_001050275.1,Contig,3.68704,46.8,,BBYA01,15,3258,2015-07-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/050/275/GCA_001050275.1_ASM105027v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/050/275/GCF_001050275.1_ASM105027v1
GCA_003133285.1,Coriobacteriia bacterium,85.85,1.17,Bacteria;Terrabacteria group;Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__PALSA-660;g__PALSA-660;s__PALSA-660 sp003133285,Actinobacteria,Actinobacteria,palsa_660,SAMN08179469,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003133285.1,Scaffold,1.86893,68.3,,PKWR01,220,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/133/285/GCA_003133285.1_20120500_P28,
GCA_000013405.1,Syntrophus aciditrophicus SB,96.43,3.87,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus aciditrophicus,Deltaproteobacteria,Deltaproteobacteria,SB,SAMN02603418,PRJNA16258,Isolate sequencing,McInnerey et al. 2007,Engineered,GCA_000013405.1,Complete,3.1793,51.5,chromosome:NC_007759.1/CP000252.1,,1,2897,2006-01-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/405/GCA_000013405.1_ASM1340v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/405/GCF_000013405.1_ASM1340v1
GCA_001516055.1,Gracilibacter sp. BRH_c7a,96.21,3.02,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Gracilibacter;s__Gracilibacter sp001516055,Firmicutes,Firmicutes,BRH_c7a,SAMN04126961,PRJNA257561,rock porewater metagenome, deep Subsurface,NA,Subsurface,GCA_001516055.1,Contig,4.10544,39.5,,LOEZ01,98,3782,2016-01-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/055/GCA_001516055.1_41k,
