accession	name	class	bioproject	biosample	genome_type	taxid	species_taxid	strain_name	specific_name	assembly_level	release_dateasm_name		submitter	ftp_path	local_filename
GCA_000011325.1	Corynebacterium glutamicum ATCC 13032	Actinobacteria	PRJNA307	SAMD00061105	reference genome	196627	1718	strain=ATCC 13032		Complete Genome	2/18/04	ASM1132v1	Kitasato Univ.	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/325/GCA_000011325.1_ASM1132v1	./actino/genbank/bacteria/GCA_000011325.1/GCA_000011325.1_ASM1132v1_genomic.fna.gz
GCA_000015005.1	Mycolicibacterium smegmatis MC2 155	Actinobacteria	PRJNA92	SAMN02603982	reference genome	246196	1772	strain=MC2 155		Complete Genome	11/20/06	ASM1500v1	TIGR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/005/GCA_000015005.1_ASM1500v1	./actino/genbank/bacteria/GCA_000015005.1/GCA_000015005.1_ASM1500v1_genomic.fna.gz
GCA_000023405.1	Brachybacterium faecium DSM 4810	Actinobacteria	PRJNA17026	SAMN00002685	reference genome	446465	43669	strain=DSM 4810		Complete Genome	8/25/09	ASM2340v1	US DOE Joint Genome Institute (JGI-PGF)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/405/GCA_000023405.1_ASM2340v1	./actino/genbank/bacteria/GCA_000023405.1/GCA_000023405.1_ASM2340v1_genomic.fna.gz
GCF_000025265.1	Conexibacter woesei DSM 14684	Thermoleophilia	PRJNA224116	SAMN00002582	representative genome	469383	191495	strain=DSM 14684		Complete Genome	1/15/10	ASM2526v1	US DOE Joint Genome Institute (JGI-PGF)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/265/GCF_000025265.1_ASM2526v1	./actino/refseq/bacteria/GCF_000025265.1/GCF_000025265.1_ASM2526v1_genomic.fna.gz
GCA_000069185.1	Mycobacteroides abscessus ATCC 19977	Actinobacteria	PRJNA15691	SAMEA3138276	reference genome	561007	36809			Complete Genome	3/1/08	ASM6918v1	Genoscope	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/185/GCA_000069185.1_ASM6918v1	./actino/genbank/bacteria/GCA_000069185.1/GCA_000069185.1_ASM6918v1_genomic.fna.gz
GCA_000159155.2	Gardnerella vaginalis ATCC 14019	Actinobacteria	PRJNA31473	SAMN00001462	reference genome	525284	2702	strain=ATCC 14019		Complete Genome	11/3/10	ASM15915v2	Baylor College of Medicine	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/155/GCA_000159155.2_ASM15915v2	./actino/genbank/bacteria/GCA_000159155.2/GCA_000159155.2_ASM15915v2_genomic.fna.gz
GCA_000165905.1	Bifidobacterium bifidum PRL2010	Actinobacteria	PRJNA42863	SAMN02603510	reference genome	702459	1681	strain=PRL2010		Complete Genome	11/2/10	ASM16590v1	"Laboratory of Probiogenomics, Department of genetics, university of Parma, Italy"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/905/GCA_000165905.1_ASM16590v1	./actino/genbank/bacteria/GCA_000165905.1/GCA_000165905.1_ASM16590v1_genomic.fna.gz
GCA_000195835.2	Mycobacterium tuberculosis variant bovis AF2122/97	Actinobacteria	PRJEB15187	SAMEA20450668	reference genome	233413	1773		AF2122/97	Complete Genome	1/19/17	ASM19583v2	School of Veterinary Medicine	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/835/GCA_000195835.2_ASM19583v2	./actino/genbank/bacteria/GCA_000195835.2/GCA_000195835.2_ASM19583v2_genomic.fna.gz
GCA_000195855.1	Mycobacterium leprae TN	Actinobacteria	PRJNA90	SAMEA1705921	reference genome	272631	1769	strain=TN		Complete Genome	5/6/03	ASM19585v1	Sanger Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/855/GCA_000195855.1_ASM19585v1	./actino/genbank/bacteria/GCA_000195855.1/GCA_000195855.1_ASM19585v1_genomic.fna.gz
GCA_000195955.2	Mycobacterium tuberculosis H37Rv	Actinobacteria	PRJNA224	SAMEA3138326	reference genome	83332	1773	strain=H37Rv		Complete Genome	2/1/13	ASM19595v2	Sanger Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2	./actino/genbank/bacteria/GCA_000195955.2/GCA_000195955.2_ASM19595v2_genomic.fna.gz
GCA_000196835.1	Amycolatopsis mediterranei U32	Actinobacteria	PRJNA46889	SAMN02603409	reference genome	749927	33910	strain=U32		Complete Genome	6/29/10	ASM19683v1	"Institute of Plant Physiology and Ecology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/835/GCA_000196835.1_ASM19683v1	./actino/genbank/bacteria/GCA_000196835.1/GCA_000196835.1_ASM19683v1_genomic.fna.gz
GCA_000203835.1	Streptomyces coelicolor A3(2)	Actinobacteria	PRJNA242	SAMEA1705940	reference genome	100226	1902	strain=A3(2)		Complete Genome	5/6/03	ASM20383v1	Sanger Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/835/GCA_000203835.1_ASM20383v1	./actino/genbank/bacteria/GCA_000203835.1/GCA_000203835.1_ASM20383v1_genomic.fna.gz
GCA_000240225.2	Patulibacter medicamentivorans	Thermoleophilia	PRJNA224116	SAMN02391504	representative genome	1097667	1097667	strain=I11		Contig	12/28/11	ASM24022v2	Aalborg University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/225/GCF_000240225.1_ASM24022v2	./actino/refseq/bacteria/GCF_000240225.1/GCF_000240225.1_ASM24022v2_genomic.fna.gz
GCF_000420025.1	Patulibacter americanus DSM 16676	Thermoleophilia	PRJNA224116	SAMN02440564	representative genome	1122939	588672	strain=DSM 16676		Contig	7/9/13	ASM42002v1	DOE Joint Genome Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/025/GCF_000420025.1_ASM42002v1	./actino/refseq/bacteria/GCF_000420025.1/GCF_000420025.1_ASM42002v1_genomic.fna.gz
GCF_000423665.1	Solirubrobacter soli DSM 22325	Thermoleophilia	PRJNA224116	SAMN02440825	representative genome	1123262	363832	strain=DSM 22325		Scaffold	7/11/13	ASM42366v1	DOE Joint Genome Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/665/GCF_000423665.1_ASM42366v1	./actino/refseq/bacteria/GCF_000423665.1/GCF_000423665.1_ASM42366v1_genomic.fna.gz
GCF_000424625.1	Conexibacter woesei Iso977N	Thermoleophilia	PRJNA224116	SAMN02440675	representative genome	1283299	191495	strain=Iso977N		Scaffold	7/11/13	ASM42462v1	DOE Joint Genome Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/625/GCF_000424625.1_ASM42462v1	./actino/refseq/bacteria/GCF_000424625.1/GCF_000424625.1_ASM42462v1_genomic.fna.gz
GCF_000425945.1	Solirubrobacter sp. URHD0082	Thermoleophilia	PRJNA224116	SAMN02440852	na	1298857	1298857	strain=URHD0082		Scaffold	7/11/13	ASM42594v1	DOE Joint Genome Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/425/945/GCF_000425945.1_ASM42594v1	./actino/refseq/bacteria/GCF_000425945.1/GCF_000425945.1_ASM42594v1_genomic.fna.gz
GCF_000519325.1	Patulibacter minatonensis DSM 18081	Thermoleophilia	PRJNA224116	SAMN02584907	representative genome	929712	298163	strain=DSM 18081		Scaffold	1/13/14	ASM51932v1	JGI	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/519/325/GCF_000519325.1_ASM51932v1	./actino/refseq/bacteria/GCF_000519325.1/GCF_000519325.1_ASM51932v1_genomic.fna.gz
GCF_000688095.1	Solirubrobacterales bacterium URHD0059	Thermoleophilia	PRJNA224116	SAMN02743918	na	1380390	1380390	strain=URHD0059		Scaffold	4/8/14	ASM68809v1	DOE Joint Genome Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/688/095/GCF_000688095.1_ASM68809v1	./actino/refseq/bacteria/GCF_000688095.1/GCF_000688095.1_ASM68809v1_genomic.fna.gz
GCA_000969705.1	Nitriliruptor alkaliphilus DSM 45188	Nitriliruptoria 	PRJNA82631	SAMN02745916	representative genome	1069448	427918	strain=DSM 45188		Scaffold	4/6/15	ASM96970v1	JGI	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/705/GCA_000969705.1_ASM96970v1	./actino/genbank/bacteria/GCA_000969705.1/GCA_000969705.1_ASM96970v1_genomic.fna.gz
GCA_001313025.1	Conexibacter sp. JCM 18997	Thermoleophilia	PRJDB908	SAMD00016827	na	1301082	1301082	strain=JCM 18997		Contig	10/1/15	ASM131302v1	The University of Tokyo	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/313/025/GCA_001313025.1_ASM131302v1	./actino/genbank/bacteria/GCA_001313025.1/GCA_001313025.1_ASM131302v1_genomic.fna.gz
