genome_name,name,Lineage,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_001829125.1,Spirochaetes bacterium GWB1_27_13,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,,SAMN04314119,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829125.1,Scaffold,4.40062,26.8,,MIAN01,273,3454,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/125/GCA_001829125.1_ASM182912v1,
GCA_001830585.1,Spirochaetes bacterium GWD1_27_9,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,,SAMN04314207,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001830585.1,Scaffold,4.07893,26.9,,MIAW01,267,3119,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/830/585/GCA_001830585.1_ASM183058v1,
GCA_900184255.1,Khelaifiella massiliensis,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,Mt13,SAMEA104087842,PRJEB20938,Isolate sequencing,NA,Isolate,GCA_900184255.1,Scaffold,4.21583,29.8,,FXWX01,25,3571,2017-12-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/184/255/GCA_900184255.1_PRJEB20938,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/184/255/GCF_900184255.1_PRJEB20938
GCA_001768155.1,Bacteroidetes bacterium GWA2_30_7,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,,SAMN04314167,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001768155.1,Scaffold,4.12395,30,,MENC01,308,2756,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/768/155/GCA_001768155.1_ASM176815v1,
GCA_001768975.1,Bacteroidetes bacterium GWA2_31_9,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,,SAMN04314154,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001768975.1,Scaffold,4.96025,30.3,,MEND01,288,3422,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/768/975/GCA_001768975.1_ASM176897v1,
GCA_002781315.1,Bacteroidetes bacterium CG02_land_8_20_14_3_00_31_25,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,CG02_land_8_20_14_3_00_31_25,SAMN06659163,PRJNA362739,aquifer metagenome,Probst et al. 2033,Subsurface,GCA_002781315.1,Scaffold,3.06597,30.6,,PETO01,1009,2777,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/781/315/GCA_002781315.1_ASM278131v1,
GCA_002784085.1,Bacteroidetes bacterium CG_4_10_14_3_um_filter_31_20,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,CG_4_10_14_3_um_filter_31_20,SAMN06659871,PRJNA362739,aquifer metagenome,Probst et al. 2019,Subsurface,GCA_002784085.1,Scaffold,3.40318,30.6,,PFKA01,1274,3102,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/784/085/GCA_002784085.1_ASM278408v1,
GCA_001769035.1,Bacteroidetes bacterium GWA2_32_17,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,,SAMN04313829,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001769035.1,Scaffold,4.76595,30.9,,MENF01,234,3496,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/769/035/GCA_001769035.1_ASM176903v1,
GCA_002995785.1,Clostridium liquoris,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,DSM 100320,SAMN08638830,PRJNA437081,Isolate sequencing,NA,Isolate,GCA_002995785.1,Contig,2.8762,31,,PVXO01,75,2674,2018-03-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/995/785/GCA_002995785.1_ASM299578v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/995/785/GCF_002995785.1_ASM299578v1
GCA_002387895.1,Clostridium sp. UBA4548,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA4548,SAMN06455279,PRJNA348753,Parks 2017 UBA reassembly,New York City MTA subway samples Metagenome,Built_Environment,GCA_002387895.1,Scaffold,4.16467,31.1,,DGLI01,51,0,2017-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/387/895/GCA_002387895.1_ASM238789v1,
GCA_000300195.1,Clostridium tunisiense TJ,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,TJ,SAMN02472167,PRJNA175408,Isolate sequencing,Sun et al. 2012,Isolate,GCA_000300195.1,Contig,4.30839,31.2,,AMQH01,60,3794,2012-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/195/GCA_000300195.1_ASM30019v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/195/GCF_000300195.1_ASM30019v1
GCA_002367115.1,Clostridium tunisiense,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA3047,SAMN06457700,PRJNA348753,Parks 2017 UBA reassembly,New York City MTA subway samples Metagenome,Engineered,GCA_002367115.1,Scaffold,4.31726,31.2,,DFCT01,50,0,2017-09-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/367/115/GCA_002367115.1_ASM236711v1,
GCA_900185645.1,Clostridium sp. BSD9I1,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,BSD9I1,SAMEA104113266,PRJEB21031,Isolate sequencing,NA,Isolate,GCA_900185645.1,Contig,3.85471,31.3,,FYAM01,27,0,2017-07-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/185/645/GCA_900185645.1_BSD9I1_assembly_1,
GCA_001829535.1,Spirochaetes bacterium RIFOXYB1_FULL_32_8,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,,SAMN04314476,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829535.1,Scaffold,3.88725,31.3,,MIBL01,625,2747,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/535/GCA_001829535.1_ASM182953v1,
GCA_001829315.1,Spirochaetes bacterium GWE1_32_154,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,,SAMN04313951,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829315.1,Scaffold,4.02905,31.5,,MIAY01,43,3352,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/315/GCA_001829315.1_ASM182931v1,
GCA_001829345.1,Spirochaetes bacterium GWF1_31_7,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,,SAMN04314136,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829345.1,Scaffold,4.10079,31.5,,MIBB01,89,3358,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/345/GCA_001829345.1_ASM182934v1,
GCA_001829335.1,Spirochaetes bacterium GWE2_31_10,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,,SAMN04313950,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829335.1,Scaffold,4.11947,31.5,,MIBA01,113,3334,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/335/GCA_001829335.1_ASM182933v1,
GCA_001902295.1,Clostridium kluyveri,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,JZZ,SAMN06094710,PRJNA355892,Isolate sequencing,NA,Isolate,GCA_001902295.1,Complete,4.51293,31.6143,chromosome:NZ_CP018335.1/CP018335.1; plasmid unnamed:NZ_CP018336.1/CP018336.1,,2,4141,2016-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/295/GCA_001902295.1_ASM190229v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/902/295/GCF_001902295.1_ASM190229v1
GCA_004345905.1,Serpentinicella alkaliphila,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,DSM 100013,SAMN10362789,PRJNA500719,JGI Isolate sequencing,NA,Isolate,GCA_004345905.1,Scaffold,3.0178,32.1,,SLYC01,105,2815,2019-03-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/345/905/GCA_004345905.1_ASM434590v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/345/905/GCF_004345905.1_ASM434590v1
